stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,9.8,2.2,5.2,0,27.09,0.89,0,3.84,0,0,0,10.59,0,0,4.37,77.24,3.59,0,0,3.17,2.75,0.9,0.88,4.75,1.97,66.69,0,0,0,0,0
 24-34,0,0,8.27,0,7.86,0,20.28,0.69,0,15.47,0,0.98,0,13.9,0,0,5.29,126.82,2.77,0,0,0,2.02,0,0,6.63,2.08,31.21,0,0,9.21,0,0
 36-46,0,0,0,0,6.26,0,17.72,1.64,0,2.08,0,0,0,13.21,0,6.63,2.79,57.6,0,2.23,0,0,0,0,0,1.99,0,33.32,0,0,1.75,0,0.71
 48-58,0,0,8.85,0,7.89,0,6.63,0,0.76,0,0,0,1.02,10.83,0,0,3.55,33.72,0,0.48,0,0,1.46,0,0,0,0,22.44,0,0,0.84,0,0
 60-70,0,0,7.39,0,21.25,2.41,22.99,0,0,4.18,0,0,0,34.88,1.53,1.67,1.54,54.3,0,3.04,5.78,0,0.9,0,0,0,0,8.39,0.92,5.03,0,0,0
 72-82,0,0.56,2.26,0,25.9,0,10.06,0,1.08,2.35,0,1.52,0,18.92,0,0,3.1,22.83,0,2.41,8.38,0,4.03,0,0,0,0,2.4,0,0.61,0,0,0
 84-94,1.62,0,1.97,0,25.19,3.75,8.31,0,0,1.33,0.55,0.69,0,23.54,0,0.66,1.63,30.7,0,1.86,4.1,0,0.56,0,0,0,0,9.02,0,0,0.69,0,0
 96-106,0,0,3.12,0,26.84,0,14.78,1.93,1.6,6.47,1.8,0,0,23.88,0,1.88,0,7.91,0,4.77,2,0,1.77,0,0,0,0,2.38,0,0,2.76,0,0
108-118,0,0,1.23,0.49,8.1,0,12.32,0,0.76,2.73,0,0.5,0,41.71,0,6.12,1.07,25.24,0,3.57,1.09,0,0,0,0,1.1,0,15.5,0,0,4.87,1.45,0.89
120,0,0,0,2.8,28.51,0,19.23,0,0,0,0,0,0,29.14,0,1.38,1.24,48.67,0,4.24,0,0,0,0,0,0,0,1.75,0,0,4.78,0,0
