stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,26.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.84,0,0,0,5.64,0,0,0,0,0,0,0,0
 10-12,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,0,0,0,0,6.41,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.72,0,0,0,6.71,0,0,0,0,33.77,0,0,0,0,0,0,0.9,12.12,0,0,0,0
 24-34,0,0,0,0,0,4.92,0,0,0,0,0,0,0,1.26,1.26,0,0,0,166.79,0,1.01,0,0,0,0,0,50.96,0,0,0,0
 36-46,0,0,0,0,0,91.59,1.75,0,0,8.53,0,0.65,0.64,0,0.56,0,0,0.78,602.82,2.84,0.78,0.75,0,0,0.81,0,102.93,0,0,0,0
 48-58,0,0,0.77,0,0,262.6,0,0,0,13.75,0,0,0,0,1.68,0,0,0.85,853.1,0.38,13.09,0.4,0,0.47,0.42,0,108.02,0,0.8,0,7.15
 60-70,0,0,6.4,0,0,586.78,2.93,0,0,36.39,0,0,0.65,0,5.84,0,0,0,1121.09,2.83,0.7,0,0,0,8.86,0,157.8,0.83,0.72,0,0
 72-82,0,0,11.46,5.18,0,298.8,0,0,0,30.62,0,0,0,0,7.67,0.77,0.51,1.44,926.25,0,1.89,0,0,0,0.59,0,88.69,0,0,0,0
 84-94,0,0,2.83,19.53,0,311.71,0.67,0,1.21,26.84,1.38,0,0.6,0,6.93,0,2.29,0,688.11,1.33,0,1.4,0,0,4.84,0,69.81,1.31,0,0,0
 96-106,0,0,0,6.6,0,141.13,0,0.72,3.69,31.22,0,0,2.3,1.23,11.83,0,1.93,0,563.05,4.22,4.7,0,0,0,4.18,0,24,1.87,4.18,0.76,0.69
108-118,0,0,4.93,0,1.11,254.42,0,0,0,23.3,0,0,0,1.05,10.24,2.55,0,0,638.2,6.84,1.46,2.83,0,0,2.3,0,26.68,1.41,0,1.05,0
120,0,0,2.69,0,0,257.73,0,1.18,0,33.43,0,0,0,0,13.81,0,0,1.82,1422.86,6.65,0,0,0,0,0,0,64.37,0,0,9.78,0
