stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,256.29,3371.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.41,0,0,0,0,0,0,0,0,0
  5-6,168.5,2183.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0,0,0,12.44,0,28.29,0,0,0,0,0,0,0,0,0
  7-9,0,11.48,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.48,0,0,0,21.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,39.62,0,0,0,0,0,0,0,0,0,2.03,6,0,0,0,0
 24-34,0,0,0,0,0.76,0,0,3.92,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,348.95,0,0,0,0,0,1.12,0,0,0,0,21.45,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,373.31,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,1356.81,0,0.66,0,0,0,6.34,0.81,0,0.78,0,137.77,0,0,0,0
 48-58,0,0,0,0,3.5,1.93,0,1618.29,0,0,3.01,42.57,0,0.87,0.71,0,0,5.56,15.12,0,5.16,0.93,2225.31,5.13,4.1,0.43,0,0,11.06,0,0,0.4,0,250.97,0,10.67,0,4.14
 60-70,0,0,4.68,0,3.97,0,0,2111.43,0,0,0,46.2,0,0,0,8.43,0,0,25.67,0,0,0,2097.3,0,0,4.45,0,0,6.26,0,0,0,0,185.28,0,0.92,0,2.47
 72-82,0,0,0,0,12.21,3.48,0,1450.38,0,0,1.3,29.92,0,1.5,0,2.11,0,0,33.48,0.79,0,0,1331.09,0,0.76,1.38,0,0,19.16,0,0,0,0,116.21,0,3.02,0,2
 84-94,0,0,0,0,8.26,10.47,0,1102.91,0,1.3,0,23.42,0.96,0,0.64,1.75,0,0,25.46,0,0,1.72,838.09,0,1.41,0,0,5.95,31.09,0,0,0,0,90.3,3.81,1.22,0,1.05
 96-106,0,0,0,0,28.3,3.93,0,811.97,0,0,0,26.25,0,0,0.85,0,1.27,0,8.51,0,1.49,0,669.7,0,0,0.56,0,0,16.41,0,0,0,0,29.73,0,0,0,11.26
108-118,0,0,0,0,11.47,4.33,3.16,903.85,3.3,0.73,0,9.29,0,0,1.5,0.47,0,3.03,11.91,1.21,0,0.9,942.69,0.67,0,1.04,0,0,16.88,0,0,0,0,48.61,0,0,2.7,0
120,0,0,0,0,0,12.9,0,1117.42,0,3.3,0,47.24,0,0,0,0,0,4.19,20.47,0,0,0,1411.4,0,0,0,0,0,1.62,0,0,0,0,43.98,0,0,0,0
