stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,0,27.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,20.16,0,0,0,4.92,0,0,6.13,0,0,0,0,0,34.47,0,0,33.71,0,0,0,0
 10-12,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,26.45,0,0,26.86,0,0,0,0
 14-21,0,0,1.1,2.55,0,0,0,0,0,0,0,0,1.34,0,0,3.17,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0.63,0,0.6,0,0,0,0,0,0,1.58
 36-46,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0,0
 48-58,0,0,0,0.41,0,0,0.52,0,0,0,0,0,0.9,0,0,4.7,0,0,0,0,0,1.07,0
 60-70,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,3.01,1.43,1.67,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,15.07,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,1.58,5.76,0,5.33,0,2.67,0,0,0
 96-106,0,0,0,0,0,1.05,0,0.91,3.96,0,0,0,3.55,0,0,8.95,0,2.89,0,0,0,0,0
108-118,0,0,0,0.57,0,0,0,0,4.19,0,2.04,0.43,0,0,0,0,0.64,3.52,0,0,0,1.28,0
120,0,0,0,4.62,6.68,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0,1.53,0,0
