stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,0,11.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,0,3.45,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0
 10-12,0,0,0,0,17.96,0,0,0,0,0,0,0,39.66,0,4.46,0,0
 14-21,0,0,3.19,6.35,0,0,0,2.16,1.35,0,0,0.91,15.24,1.1,0,2.12,0
 24-34,0,0,0,2.2,3.91,0.64,1.57,0,0,0,0,0,25.48,0,0,16.37,0
 36-46,0,0,0,0,0.99,0,0,0,0,0.59,0,0,7.23,0.62,0,2.47,0
 48-58,0,0,0,0.4,1.64,0,0,0,0,4.87,0,0,26.15,0,0,7.33,0
 60-70,0,0,0,0,0,0,0,0,0,16.31,0,0,12.63,0,0,0,0
 72-82,0,0,0,0,11.02,0,2.36,0,0,43.5,0,0,9.93,0,0,0,0
 84-94,0,0,0,0.58,23.9,0,6.27,0,0,68.55,0,0.57,7.12,0,0,2.12,0
 96-106,0,0,0,0,25.79,0,5.09,0,0,90.34,1.82,1.43,8.96,0,0,0,4.9
108-118,0,0,0,1.07,26.32,0.62,0,0,0,83.32,0,0,17.24,0,0,0,2.77
120,0,0,0,6.09,20.36,0,0,0,0,102.84,0,0,34.51,0,0,0,0
