stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,3.79,0,0,0,0,0,0,0,0,0,0,8.78,1.04,0,1.09,0,2.1,0,0.89,2.08,0,0,0,0
 24-34,0,0,0,0.78,0,0,1.28,0,3.04,0,0,6.16,0.67,0.64,0,0,0.62,0,0.73,1.09,0,0,0,0
 36-46,0,0,0,0.71,0,1.08,0,0,1.09,0,0,5.25,0,0,0,0,0.78,0,0,0,0,0,0,0
 48-58,0,0,0,2.17,1.58,0,1.38,0,0,0,0.37,4.29,1.18,0.54,0,0,3.67,0,0,0.76,0,0,0,0.5
 60-70,1.02,0.59,0,3.86,0,0.77,0,0,1.54,0,0,0.78,1.02,0,0,0,3.55,0,0,0,1.22,1.56,0,0
 72-82,0.72,1.85,1.04,3.09,0,0,0,0,0.64,1.05,0,2.69,0,0,0,0.84,0,0,0,0,0,0,0.82,0
 84-94,0,20.33,0,0,0,4.08,0,0,0.55,0,0,0,0,3.15,0,0,5.07,1.21,0,0,1.17,0,0,0
 96-106,0,6.7,0,5.34,0,0,0,0,0.85,0,0,6.74,3.37,0,0,0,3,0,0,0,0,0,0.88,0
108-118,3.09,0,0,0,0,0,0,0.48,1.41,0,0,2.49,8.02,0,0,0,3.15,0.87,0,0,0.84,0,0,0
120,4.48,0,0,0,0,0,2.26,0,19.83,0,0,18.32,3.09,0,0,0,2.54,0,0,0,0,0,0,0
