stage,erythrocytes,eye,glial,immune,ionocyte,iridophores,neural,periderm,spinal.cord,vasculature
  7-9,0,3.44,0,0,0,0,6.78,0,0,0
 84-94,0,0,0,15.02,0,0,0,0,0,0
 96-106,2.64,0,0,118.77,0,0.75,2.62,0.97,1.85,0.96
108-118,0,0.53,1.12,44.42,4.4,0,3.28,0,0,0
120,0,4.28,0,362.01,0,0,5.17,0,0,0
