stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.23,0,0,9.31,0,0,0,0,0,0
 10-12,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.08,0,0,19.18,0,3.14,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0,0,3.97,0,0,0
 24-34,0,0,0,0.76,2.11,0,0,2.87,0.67,0,0,0,0.74,0,0,0.61,0,0,0,25.16,1.03,0.75,0,1.33,0,11.34,0,0.6,0
 36-46,0,0,3.06,0,2.73,0,0,3.69,0,0,0,0,0,0,0,2.28,0,0,0,56.33,4.05,0.58,0,0,3.08,9.05,0,0,0
 48-58,0,0,0,0,4.78,0,3.45,5.11,0,0,0.9,0,0,0,0,2.57,0.61,0,1.04,94.96,0,0,0,2.15,0,10.89,0,0.61,0
 60-70,0,0,0.68,0,47.05,0,0,6.79,0,1.77,0,0,0,0,0,9.81,0,0.89,0,158.59,1.23,0,0,4.45,0,20.44,1.27,0.68,0
 72-82,0,0,0,0,69.22,0,1.56,5.38,0,0,0,0,0,0,0,3.59,0,0,1.29,97.31,0,0.59,0,0,0,5.6,0,0,0
 84-94,0,0.81,0,1.66,35.26,0,0,7.41,0,0,0,0,0,0,0,11.07,0,0,1.16,73.86,0,0.59,0,2.19,0,9.45,0,0,0
 96-106,0,0,2.39,0,47.7,0,0,7.76,0,0,0,0,0,0,0.6,9.37,0,0,0,78.63,0,0.98,0,5.13,0,0.76,0,0,0.67
108-118,0,0,1,0,48.56,0.53,0,6.9,0,0,0,0.7,0,0.95,0,8.42,0,0,0,138.05,0,0.47,0,2.34,0,0,0,0,0
120,0,0,1.23,0,30.25,0,2.81,14.25,11.15,0,0,0,0,0,0,24.49,0,0,2.24,155.99,0,0,0,2.81,0,23.92,0,0,0
