stage,erythrocytes,eye,glial,mesenchyme,neural,olfactory,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,6.17,1.02,0,1.83,3.76,0,0
 24-34,0,0,0,0,0.66,0,1.07,0,1.14,0,0
 36-46,0,0,0,0,12.14,0,0,0,1.17,0,0
 48-58,0,1.24,0,0,10.91,0,0,0,4.76,0,0
 60-70,0,0.63,0,0,1.32,0,0,0,0,0,0
 72-82,0,4.61,0,0.65,11.56,1.19,0,0,1.64,0,0
 84-94,0,1.36,0,0,4.19,0,2.92,0,0,1.74,0
 96-106,1.35,0,1.53,0,4.16,0,0.72,0,0,0,0
108-118,0,1.45,2.53,0,1.79,0.84,0,0,0,0,3.07
120,0,0,1.37,0,0,0,0,0,0,0,0
