stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.53,274.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.72,0,0,14.25,0,0,0,0,6.08,0,0,0,0,0,0,0,0,40.67,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,25.41,0,0,4.43,17.62,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,4.68,2.79,0,0,0,0,0,5.2,0,1.16,12.08,5.77,0,7.98,0,0
 24-34,0,0,0,0,0.94,2.05,4,0,0,0,0,0,0,0,0,0,0,14.11,0,30.9,109.3,0,0,0,0,0,0,0,0,3.04,20.28,0,10.78,0,0
 36-46,0,0,0,0,0,0,4.23,0,0,3.82,0,0,2.56,0,0,0,0,34.63,0,12.15,290.89,0,0,0,0,0,0,0,0,0,33.86,0,3.73,0,0
 48-58,0,0,0,0,0.7,0,21.05,0,5.85,10.33,0,0,3.99,0,0,0,0.51,48.43,0,10.52,386.18,0,0,0,0,0,0,0,0,0,64.16,0,0,0,0
 60-70,0,0,0,0,0,0,114.5,4.13,25.66,18.31,0,0,19.49,0,0,1.2,0,87.89,0,1.73,522.38,0,0,0,0,0,0,0.62,0,0,59.04,0,0.88,0,0
 72-82,0,0,0.9,0,0.65,5.8,222.43,0,18.25,23.82,0,0,2.51,0,0,0,0,148.25,0.88,9.72,555.05,0,0,0,2.17,0,0,0,0,0,51.47,1.33,0,0,0
 84-94,0,0,0,0,3.22,0,144.77,3.77,24.23,11.27,0,0,2.41,0,0,0,4.77,111.81,5.97,6.64,357.63,0.62,2.15,0,0.6,1.4,0,0,0,0,20.29,0,0,0,0
 96-106,0,0,0,0,1.16,1.54,156.28,0,4.67,23.04,0,0,0,2.07,1.03,2.51,0,154.72,0,3.76,383.76,0,0,0,0.81,0,0,0.58,0,0,18.37,0.78,0,0,0
108-118,0,0,0,0,10.64,0.96,177.44,0,15.1,27.57,0,0,0,0,0.48,0,0,150.68,2.92,0.73,406.95,0,1.72,0,0,0,0,0.64,0,0,10.41,0,0,0,5.68
120,0,0,0,0,4.85,0,99.38,0,12.53,25.66,6.91,0,0,0,0,0,0,200.92,0,5.28,825.21,0,0,0,0,0,0,0,0,0,20.9,6.25,0,10.35,0
