stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.64,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,6.8,0,0,0,0,0.91,3.21,0,2.3,6.34,0,0,0,0,0
 24-34,0,0,1.75,0,0,2.48,0,0,0,1.03,0,0,0,2.88,0,0,0,0,0,0,0,7.9,0.6,0,0.65,0,0,0,0,0,2.44,0,0,0,0,0
 36-46,0.77,0,0.8,0,0,1.03,0,0,1.46,0,0,0,0,1.15,1,0,0,0.61,0,0,0,12.61,0,0.59,0,3.2,0,0,0,0,1.55,0,0,0,0,0
 48-58,0,0,4.3,0,0,8.83,2.43,0,0.72,0.7,0,0.37,0,5.33,2.87,0,0,2.55,0.59,0,0.45,20.03,0.47,0,0,6.61,0,0,0,0,2.16,0,0,0,0,0
 60-70,0,0,0,0,0,6.24,0,0,0,1.22,0,0,0,0,0.88,0,0,4.38,0,0,0,15.61,0,0,0,8.38,0,0,8.89,0,2.3,0,0.94,1.05,0,0
 72-82,1.97,0.56,1.08,0,0,12.08,0,0,0.61,2.55,0.72,0,0.57,0.88,3.72,0,0,31.9,3.93,1.52,2.31,18.3,0,0,0,5.66,0,0,6.44,0,5.76,0,1.5,0.84,3.26,0
 84-94,2.8,0,1.52,0,0,6.17,0,0,0,1.03,0,1.3,0,0.82,1.39,0,0,15.64,0,3.11,4.52,14.45,0,0,7.64,8.9,0,0,1.94,0,1,0,0,0,0,0
 96-106,0.91,0,1.66,0,0,19.77,0,0,0,4.26,1.72,0,2.69,3.27,2.95,0,0,24.74,3,0,0,36.39,0,0,4.19,5.53,0,0,0.61,0,11.02,0,0,1.3,0,0
108-118,2.52,0,3.32,1.42,2.22,11.07,1,2.95,3.03,7.57,7.77,0,0.96,1,2.47,2.7,0.47,18.84,0,1.01,0,19.69,0.45,3.52,5.45,6.58,0,0,0.9,0,8.38,0.91,1.98,2.23,2.84,4.35
120,0,0,4.39,0,0,2.19,0,0,0,8.98,0,0,0,0,20.74,0,0,8.71,1.63,0,0,11.06,2.55,0,7.41,7.89,0,0,0,0,0,0,0,0,8.46,0
