stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.25,27.24,0,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.7,4.06,0,0,3.57,0,0,0,0,0,0,0,0,0,33.94,0,0,26.03,18.66,0,0,0,0,0,0,0,1.23,0,0,0.8,2.9,0,0,1.67,0,0
 24-34,0,0,4.44,6.71,2.07,0,15.99,0,0,0,0.92,0,0.9,0,0,0,43.57,0,0,20.67,31.37,0,0,0,0,0,3.82,0,0,0,0.78,0,6.74,0,0,14.38,0,0
 36-46,0,0,7.53,2.47,2.77,0,16.16,4.85,2,0,0.75,0,0,0,0,0,64.93,0,0.57,30.93,55.25,0,0.73,0,0,0,4.68,0,0,1.46,4.61,0,8.9,0,0,9.57,0,0.93
 48-58,0,0,12.81,0.83,21,0,7.74,20.01,3.86,0,0,0,0,1.9,0.45,0,73.28,0,0,20.18,57.3,0,0,0,0,0,1.3,0,0,0.53,0.65,0,8.26,0,0,3.29,0,6.99
 60-70,0,0,5.12,0,294.1,3.1,15.22,9.19,16.43,0,0,0,0,0,0,0,65.67,0,3.38,25.22,111.66,0,0,0,0,0,3.15,0,0,1.88,0,0,8.28,0,3.73,6.78,0,6.43
 72-82,0,0,10.31,4.05,600.73,0,3.69,29.83,25.33,0,2.81,0,2.96,1.98,0,0,102.25,0,8.39,30.39,89.92,1.46,0,0,0,0.83,0.59,0,0,0.64,0,0,11.72,0,3.97,9.63,4.64,4.08
 84-94,0,0,21.43,14.26,285.89,2.24,4.56,25.23,24.94,0.91,0.8,0.74,6.32,6.56,0,0,84.1,0,11,31.7,118.2,0,0,3.97,0,2.37,0,0,0,0,0.66,0,1.3,1.72,6.69,7.36,4.91,7.38
 96-106,0,0,22.78,22.95,504.41,0,4.89,29.34,43.07,1.83,0,3.66,3.44,3.78,0,3.42,76.89,0,0,21.12,60.49,0,0.69,2.04,0,1.92,2.22,0,0,2.54,0,0,0,1.37,9.65,10.11,5.65,0
108-118,0,0,25.13,12.87,390.16,0,15.87,18.49,35.06,2.74,0,0.46,4.36,6.99,0,1.71,76.29,0.53,0.97,31.65,89.06,0,0,1.09,0,0.87,3.09,0,0,0,0,0,5.64,3.15,6.24,1.82,6.4,11.29
120,0,0,34.84,15.75,294.64,0,19.6,2.35,28.82,2.81,0,13.41,4.52,3.93,3.78,0,95.93,0,0,9.57,91.38,0,13.95,0,0,0,1.35,2.5,0,0,0,0,0,0,8.61,20.89,16.75,3.6
