stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0.83,1.34,2.02,0,0
 24-34,0,0,0,0,0,0,0,0,1.27,0,0,0.81,1.05,0,0
 36-46,0.61,0,0,0,0,0,0,0,0,0,0,7.43,0,1.15,0
 48-58,0,0,1.47,0,0,2.46,0,0,0,0.48,0,5.33,0,0,0
 60-70,0,0,0,0.97,0,2.4,0,0,0,0.9,0,6.46,0,2.91,2.53
 72-82,0,2.81,0,2.84,0,5.71,4.59,2.9,0,0,0.92,4.97,0,0,0.64
 84-94,2.07,0,0,1.84,0,12.77,0.75,0,0,0,0,34.17,0,0,1.26
 96-106,1.66,0,0,0,0.96,27.04,0,0,2.12,0,0,18.07,0,0,0
108-118,3.53,0,0,5.4,0,21.92,0,0,0,2.96,0,13.79,0,0,0
120,0,1.29,0,0,0,45.98,0,0,12.29,0,1.74,23.97,0,0,0
