stage,epidermis,eye,fast.muscle,glial,neural,olfactory,spinal.cord,xanthophores
 14-21,0,0,0,0,1.11,0,0,0
 24-34,0,0,0,0,10.65,0,0.73,0
 36-46,0,0.75,0,0.86,12.62,0,3.93,0
 48-58,0,8.61,0,0.43,10.26,0.91,0.73,0
 60-70,2.75,26.54,0,0,28.1,0,4.31,0
 72-82,0,2.98,0,0.89,20.26,1.38,1.87,8.71
 84-94,0,0,0,0,13.44,0,0,0
 96-106,0,0,0,0,11.92,1.44,0,0
108-118,0,8.61,1.3,2.66,8.83,0,0,0
120,0,6.3,0,0,25.51,0,0,0
