stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,30.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,26.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.01,0,0,0,16.61,0,0,0,0,0,0
 14-21,0,1.92,0,2.1,0,0,0,0,1.17,0,0,3.58,0,0,1.65,0,0,0.92,1.16,1.11,0,0
 24-34,0,0,0,1.39,1.31,0,0,0,0,0,0,25.83,0,0,0,0,0.65,0,0.67,1.29,1.06,0
 36-46,0,0,0,8.61,1.3,0,0,0,5.84,0,0,35.49,0,0,0,0,0,0,0,4.3,0,0
 48-58,0,2.93,0,3.52,0.64,0,0.44,1.24,1.66,0,0,26.03,0,0.47,0,0,0.99,0,0,1.62,0,0.54
 60-70,0,0.67,0.68,6.97,0.75,0,0,0,3.68,9.54,0,28.61,0,0,0.65,0,0,0,0,5.74,0,0
 72-82,0,0,0,13.39,1.6,0,0,0,5.63,0,0,12.55,0,0,0.56,0,0,0,0,0,0,0
 84-94,0,0,0,7.83,1.1,0,0,0,4.45,1.08,3.32,19.16,0,0,0,0,0,0,0,10.55,0,0
 96-106,0,0.76,0,0,0.8,0.9,0,0,2.25,0,0,19.95,0,0,0,0,7.13,0,0,4.33,0,0.8
108-118,0,1.84,0,8.24,1.29,0,0,0,1.69,0,0,29.8,0.54,0,0.5,0,0.41,0,0,5.99,0,0
120,0,0,0,0,0,0,0,0,1.95,0,0,12.87,1.73,14.18,0,0,0,0,0,0,0,0
