stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93,0,0,3.41,0,0,0,0,0,0,0,0,0
 10-12,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0,0,6.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,1.51,0,1.19,0,0,0,1.01,17.97,0,0,0,0
 24-34,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,150.89,12.44,0,0,0.87,0,0,0,57.1,0,0,0,0
 36-46,0,0,0.72,0,3.34,1.39,0,3.93,0,0,0,0,0,0,0,0,0,0,253.33,5.19,0.6,0,1.15,0.7,0,0,130.65,0,0,0,0
 48-58,0,0,0.45,0,56.7,0,0,11.52,0,0,0,0,0,0,0.93,0,0,1.39,566.12,10.42,1.14,0,3.24,0,0,0,228.49,0,0,2.36,1.04
 60-70,0,1.79,1.15,0,119.44,0.59,0,7.71,0,0,2.65,0,0,0,13.36,2.49,0,0,732.12,4.75,2.45,0,0,0,0,0,277.96,0,0,0,0
 72-82,0,1.49,4.55,0,143.35,0,0,12.16,0,1.13,0,0,0,0,16.15,0,0,1.77,792.51,19.49,0,0,0,3.73,3.03,0,281.78,0,0,3.59,0
 84-94,0,0,2.43,0.76,144.79,0,0.75,12.76,0,0,0,0,0,0,7.02,0,0.6,1.73,552.44,1.41,0,0,6.68,0,0,0,189.4,0,1.64,0,0
 96-106,0,0,4.43,0,100.89,0,3.05,12.95,0,0,0,0,6.67,0,16.53,0,0,7.82,435.82,29.18,2.83,0,0,0,0,0,111.94,0,0,0,0
108-118,0,2.33,3.51,4.72,98.55,0,0,7.6,0.43,1.5,0.47,2.16,0,1.75,19.8,0,0,0,541.18,18.22,0,0,2.67,0,0,0,45.68,2.44,0,0.45,4.66
120,0,3.9,5.65,0,66.81,0,8.81,29.3,0,3.53,0,0,0,0,6.36,0,5.9,18.4,840.06,3.36,0,0,0,0,0,0,132.41,0,0,8.67,0
