stage,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,9.37,0,6.96,0
 24-34,0,0,0,2.81,0,1.15,0,0.95,63.09,0,34.63,0.6
 36-46,0,0,0,1.88,0,0.62,0,0,16.53,0,6.86,0
 48-58,0,0,0,1.87,0,0.44,0,0,1.7,0.73,4.66,0
 60-70,0,0,0,0,0,0,0,0,1.95,8.04,0,0
 72-82,0,0,0,1.39,2.2,0.79,0,0,3.3,5.13,0,0
 84-94,0,0,0.73,0,0,0,0,0,1.58,14.99,0,0
 96-106,0,0,3.12,0,0,0,1.11,0,0,10.38,0,0
108-118,1.19,1.68,0,0,0,0,0,0,0,16.53,0,0
120,0,0,0,0,0,0,0,0,0,8.94,0,0
