stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.83,0,1.08,0,0,0,0,0,0,0,0,0,0,1.36,0,9.31,0,0,0,3.03,0,4.8,0,0,0,0
 24-34,0,0,10.07,0,0,0.69,0,0,0,0,0,0,0,6.51,1.2,47.84,0,0,0,0,0,8.5,0,1.07,0,0
 36-46,0,0,1.49,1.88,0,0.83,0,0,0,0,0,0,0,5.6,0,25.43,0,0.61,0.58,0,0,6.46,0,0,0,0
 48-58,0,0.45,3.51,0.62,0,2.11,0,0,0,0,0,0,0,1.32,3.26,27.53,1.01,0,0.66,0,0,2.21,0,1.1,0,0
 60-70,0,1.08,14.88,3.43,0,10.88,0,0,0,0,0,0,0.59,3.33,0.59,16.1,0,7.83,0,0,0,3.1,0,0,0,0
 72-82,0,0,1.48,0,0,5.5,0,0,0,0,0,0,0,11.77,0,10.76,0,4.02,0,0,0,0,1.62,0,0,0
 84-94,0,0,5.42,0,0,8.08,0,2.56,1.06,1.97,0,0,0,9.54,0,2.36,0,0,0,0,0.66,0,0,0,0,0
 96-106,0,6.67,3.15,0,0.82,8.85,0,0,0,0,0.75,0,0,7.55,0,0.88,0,0,0.86,0,0,0,0,0,0,1.36
108-118,0,1.26,2.25,0,2.67,9.77,0.67,2.56,0.62,0,0,0.42,0,15.61,0,9.99,0,0,2.52,0,0.56,0,0,0.58,0.48,0
120,3.29,1.6,1.3,21.64,1.67,52.46,0,0,0,0,0,0,0,56.21,1.9,35.7,0,2.87,4.51,0,0,13.21,0,0,0,0
