stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,16.21,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,253.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,7.03,0,0,9.5,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.53,5.58,0,0,17.53,0,0,0,0,0,0,0
 10-12,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.68,0,0,0,0,0,5.47,0,17.52,0,0,0
 14-21,0,0,0,0,9.72,5.23,0,0,0,2.53,0,0.89,0,0,0,0.86,1.36,0,0,4.72,0,0,6.16,0,0,0,1.86,3.78,0,2.82,0
 24-34,0,0,0,0,0,0.62,0,0,0,0,0,2.67,0,0,0,0,0.63,0,0.62,8.76,0,0,0.65,0,0,0,0,0,0,2.1,0
 36-46,0,0,0,0,0.58,0,0.67,0,0,0,0.59,0,0,0,0.57,0,1.78,0,0,14.7,0,1.32,0,0,0,0,0,0,0,0,1.76
 48-58,0,0,0,0,0,0,1.45,0,0.57,0,0,0,0,0.41,0,0,0.77,0,0,2.39,0,0,0.69,0,0,0,0,0,0.4,4.51,0
 60-70,0,0,0,0,0,0.62,6.76,0.84,0,0,0,0,0,0.7,0,0,0,0,0,21.19,0,1.56,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.64,0,0,4.18,6.85,0,1.47,0,0,0,0,0,0,0,2,0.96,0,12.16,0,0,1.39,0,0,0,0,0,0,1.2,0.73
 84-94,0,0,0,0,0,0,1.21,0,0,0,0.82,0,0,0,0.83,0,0,0,0,3.21,0,0,2.63,0,0,0,0,0,0,0,0.69
 96-106,0,0,0,0,6.88,12.25,0,0,0.57,0,0.73,1.23,0,0.67,0,0,1.06,0,0,14.06,0,0.59,4.5,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.18,9.64,0,1.18,0,1.78,0,2.61,0,0,0,4.07,0,0.71,15.41,0,0.42,0.41,0,0.83,0,0,0,0,0,0.45
120,0,0,0,0,1.2,0,1.99,0,0,0,3.53,0,0,4.23,0,0,0,0,0,13.76,0,1.91,0,0,0,0,0,0,0,0,0
