stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,18.17,287.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0
  5-6,16.35,239.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0
  7-9,0,4.95,11.45,0,0,0,34.26,0,0,0,5.1,0,0,0,0,0,0,0,182.91,0,0,0,85.1,0,7.76,0,0,0,0,0
 10-12,0,0,6.71,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0,78.08,0,0,0,40.68,0,0,0,0,0,3.51,0
 14-21,0,0,1.01,0.85,0,0,3.74,0,1.08,0,0.81,0,0,0.91,0,3.69,0,2.79,54.82,1.08,0,0,0,0.91,0,0.89,0,3.53,25.45,0
 24-34,0,0,0,3.92,0,0,9.8,0,0,0.67,0,0,0,0,0,10.58,0,2.73,162.81,0,0,0.62,0,0.77,0,0,1.77,0,31.69,2.65
 36-46,0,0,0,0,0.73,0,34.88,0,2.33,0,0,0,0,0,0.65,6.76,0,0,111.54,0,0,1.21,0,0.68,0,0,3.26,0,24.14,0.76
 48-58,0,0,0,0.39,0,0,33.31,0,3.87,0,0,0,0,0,0,4.13,0,0.92,73.53,0,0,0.44,0,0.69,0,0,8.72,0,4.03,0.39
 60-70,0,0,0,0,0,0,23.67,1.6,6.44,1.78,0,0,0,0,0,5.08,0,0,154.05,0,4.17,0,0,0,0,0,0,0,2.13,0
 72-82,0,0,0,0.82,0.86,0,14.48,0.95,10.96,0,0,3.46,0,0.63,0,3.26,0.49,0,181.22,0,0,0,0,0,0,0,0.73,0,1.37,0
 84-94,0,0,0,4.76,0,0,13.89,0,22.09,0,0,0,0.74,0,0,3.99,0,0,167.3,0,0.71,0,0,0,0,0,0.92,0,1.58,0
 96-106,0,0,0,1.03,0,1.05,4.29,0,15.66,0,0,0,0,0,0,1.14,0,0,164.85,0,0,0,0,0,0,0,0.57,0,0,0
108-118,0,0,0,5.44,0,0,3.52,0.6,18.02,1.49,0,0,1.63,0.49,0,11.77,0,0.76,297.65,0,0,0,0,3.52,0,0,1.04,0,1.62,0
120,0,0,0,4.29,2.95,0,16.81,0,43.94,0,0,0,0,0,0,19.91,1.45,0,228.48,3.28,0,0,0,0,0,0,0,0,0,0
