stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,386.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0
  5-6,6.77,626.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.77,0,0,9.77,0,0,0,0,0,0,0,0,0
  7-9,21.09,7.5,7.25,0,0,7.79,0,0,0,10.04,0,0,0,0,0,0,0,99.84,0,0,10.68,0,7.76,0,0,0,0,0,0,0
 10-12,0,0,20.77,0,0,21.45,0,0,0,0,0,0,0,0,0,0,0,101.38,0,0,12.09,0,0,0,3.53,0,0,0,0,0
 14-21,0,0,0.96,7.84,0.85,5.57,0,0,0,0,0,0,0,0,0,0,0.99,31.85,0,0,0.82,1.25,0,2.97,0,2.34,12.37,0,0,0
 24-34,0,0,0.64,0.85,0.62,8.82,0,0,1,0,0,0,0.68,0,8.06,0,2.63,85.16,0,0,0,0.74,0,0,1.33,0,19.36,0,0,0
 36-46,0,0,0,0.76,0,11.78,0,4.05,0,0,3.21,0,0,0,3.84,0,0,48.17,0,0,0,0,0,0,0,0,6.48,4.02,0,4.34
 48-58,0,0,0,0,0,10.91,0,4.03,0,0,0,0,0,0,7.24,2.4,1.54,55.14,1.29,0,0,0,0,0,0,0,9.63,0.44,0,0
 60-70,0,0,0,0,0,6.09,0,0.66,0,0,0,0,0,2.74,5.04,0,0,41.29,0,0,0,0,0,0,0.62,0,4.52,0.68,0,0
 72-82,0,0,0,0,0,7.24,0.5,2.37,0,0,0.53,0,0,0,3.39,0,0,30.11,0,0,0,0,0,0,0,0,0.53,1.31,0,0
 84-94,0,0,0,0.88,0,5.48,0,1.94,0,0,0,0.75,0,0,7.84,0,1.4,29.04,0,0,0,1.58,0,0,0,0,9.97,0,0,0
 96-106,0,0,0,1.76,0,6.6,0,8.86,0,0,0,0,0,0,6.96,0,0,7.53,1.76,1.16,0,0.98,0,0,0,0,2.69,0.88,0.58,0
108-118,0,0,0,0,0,10.1,0,0.7,0.45,0,0,0,0,0,5.24,1.29,0,19.9,0,2.83,0,1.66,0,0,0,0,0,0,0.73,0
120,0,0,0,0,0,1.95,0,10.96,0,0,0,0,0,0,0,0,2.79,1.06,0,0,0,0,0,0,0,0,0,2.42,0,0
