stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.81,0,0,0,6.42,0,0,0,7.73,0,0,0,0,0,0,0,0
 14-21,0,0,3.75,1237.86,2.69,0,0,0,4.23,0,0,1,0,0,0.82,2.2,0,0,0,0,124.35,7.98,0,90.87,15.83,1,0,0,0,0,0,1.13,0,0,7.61,0,0,0,1.04,0,0
 24-34,0,0,2.65,2947.26,0.67,0,21.18,0,200.23,0.69,3.02,0.64,6.5,0.76,17.98,8.56,2.46,4.1,2.45,9.04,1614.01,36.71,0,576.94,220.59,18.05,1.75,9.21,0,0,19.92,0,8.21,1.62,10.26,34.95,0,0,1.92,0,0
 36-46,0,0,2.82,2014.11,0,0,33.73,0,397.26,75.37,15.95,0,0,0.56,65.61,1.23,0,2.28,0,0,3980.57,16.79,0,1096.53,262.77,1.2,3.05,26.86,0,6.77,17.71,0,0,0.67,0.69,25.88,0,0,16.1,0,0
 48-58,0,0,0,1370.27,2.95,0,102.61,1.91,445.85,164.86,39.63,0,0,2.3,76.28,0,0,0,0,7.53,4630.44,11.2,1.64,878.91,412.82,0.4,3.96,13.1,0,0,6.05,0,0,0,1.38,76.81,0,0,0.48,0,1.88
 60-70,0,0,0,1437.53,1.86,0,100.7,0.84,479.5,263.11,125.07,0,0,0,83.45,4.93,0,1.97,1.51,0,4612.54,14.01,3.91,620.44,266.23,7.04,3.65,20.64,0,2.19,6.19,0,1.62,2.94,0,34.11,9.31,0,0,1.6,3.56
 72-82,0,0,1.43,1271.4,6.59,0,280.83,2.11,464.5,449.7,365.21,8,0,0,157.91,6.95,0,0,3.49,0,3411.19,17.15,15.14,594.62,225.41,0,13.82,38.05,0,1.12,8.91,0,0,2.88,0,14.25,21.15,10.03,3.74,3.02,6.24
 84-94,1.23,0,0,2384.27,7.9,0,238.77,2.21,867.83,241.34,325.63,33.02,0,3.6,184.75,33.6,0.62,1.9,0,0,3250.63,16.8,14.62,417.24,192.7,5.77,8.81,65.57,0,0,29.97,0,0,1.04,0,30.69,67.18,10.06,1.71,8.55,0
 96-106,0,0,0,3040.91,33.19,4.38,241.57,0,864.57,339.12,328.6,85.11,0,0.58,170.3,23.58,1.03,0.58,20,0,2884.86,38.98,3.1,383.41,289.38,2.39,28.54,75.48,0,0,23.75,0,1.9,0,0,3.97,76.11,20.02,13.1,5.74,0
108-118,0,0,4.95,2456.83,8.95,1.75,156.69,1.9,1057.33,259.51,361.26,104.22,0,0,147.15,23.59,0,0.52,15.47,0,2609.17,19.41,45.13,316.58,260.24,3.67,17.25,90.72,0,17.38,22.79,0,0.45,0,0,6.09,115.74,21.6,1.27,0,4.12
120,0,0,8.81,1935.07,0,4.39,152.82,8.35,678.41,420.07,346.28,53.35,0,0,174.23,14.42,0,8.99,8.72,0,1869.02,25.72,26.13,182.74,193.25,0,17.27,145.69,0,28.26,31.4,0,0,0,0,4.78,47.32,29.65,2.66,0,3.14
