stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,notochord,otic,slow.muscle,spinal.cord
  5-6,19.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.92,0,0,0,0
 24-34,0,0,0,0.88,0,0.66,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.78,0.65
 48-58,0,0,0,0,0.78,0,5.2,0,0,0
 60-70,0,2.05,0,0,0,0,0,0,0,0
 72-82,0,0,1.38,0,0,2.3,0,0,0,0
 96-106,0,1.98,0,0,0,0,0,1.28,0,0
108-118,0,0,0,0,0,3.77,0,0,0,0
