stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  3-4,12.81,55.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,66.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,1.04,0
 24-34,0,0,0,0,0,0.63,0,0,0,0,0,0,0.68,2.14,6.1,0,0,0,0.62,2.74,0
 36-46,0,0,0.98,0,0,1.39,0,0,0,0.88,0,0,16.38,0.88,1.44,0,0,0,0,1.65,0
 48-58,0,0,0,0.71,0,0.79,0.51,0,0.4,0.54,0.57,1.11,6.54,0.4,0,0,0,0,0,6.45,0.49
 60-70,0,0,0,0,0,1.52,0.64,0.69,0,0,0,0,0,0,3.37,0,0.84,0,0,1.06,0
 72-82,0,0,0,0,0,4.08,0,0.69,0.56,3.8,0,0,12.49,0,9.26,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.56,0,0,0,0,1.19,0,6.44,0,6.66,0,0,0.92,0,0,0
 96-106,0,0,0,0,1.34,7.78,3.92,0,1.64,1.43,0,0,24.07,0,8.47,0,0,0,0,0,0
108-118,0,0,0,0,0,19.16,0,0,2.3,0,0,0,15.57,0,12.29,0,0,0,0,0,0
120,0,0,0,0,0,15.36,0,0,0,0,0,0,18,0,10.68,0,0,0,0,0,0
