stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.49,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.05,4.81,0,0,4.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.68,1.74,2.71,0,0,71.08,0,0,0,0,0,0,6.57,0,1,67.54,8.04,2.78,6.86,6.26,0,0,4.4,35.55,2.68,200.49,0,1.22,0
 24-34,0,0,0,0,9.86,0,3.64,0,1.58,85.47,0,0,0,0,0.6,0,5.59,0,0.71,51.6,2.34,7.03,9.46,0,0,0,0,42.62,1.48,185.32,0,0,0
 36-46,0,0,0,0,2.72,0,15.11,0,0,48.81,0,0,2.43,0,0.56,0,2.52,0,1.4,48.32,0,12.97,6.26,0,0,0.73,0,24.9,0,98.25,0,1.99,0
 48-58,0,0,0,0,0,0,7.48,0,0,56.91,0,0,0,0,2.32,0,6.48,1.17,1.28,36.07,0,10.82,1.43,0,0,0,0,16.91,0,88.3,0,0,0.47
 60-70,0,0,0,0,0,0,2.72,0,0,63.66,0,0,0,0,4.88,0,2.96,0,0,29.86,0,13.76,17.73,0,0,0.64,0,2.46,0,83.59,0,0,0
 72-82,0,0,0.91,0,8.58,0,4.13,1.14,0,69.39,0.66,0,0,0,4.1,0.62,5.75,0.7,0,16.53,0,8.92,18.47,0,0,0,0,6.02,0,36.99,0.49,0,0
 84-94,0,0,0.66,0.74,2.43,0,11.07,0,0,46.45,2.18,0,0,0,4.39,0,3.5,0,0.68,12.94,0,23.34,10.15,0,0,0,0,13.31,0,29.91,0.99,1.04,0
 96-106,0,0,0,0.64,0.59,0,1.6,0,0,49.21,0.74,0.99,2.93,0,5.96,0,2.18,0,0,19.14,0,33.65,17.36,0,0,0,0,4.23,0,46.16,0,2.24,0
108-118,0,0,0,0.42,0,0,6.3,0,0,47.74,0,0,1.16,0.54,12.16,0,6.02,0,1.53,24.04,0,24.69,13.31,0,0,0,0,4.91,0,23.09,0,0.48,0
120,0,0,0,0,0,0,1.69,0,0,28.93,0,0,2.42,0,20.15,0,6.64,0,0,18.39,0,6.28,16.17,0,5.9,0,0,14.55,0,11.46,0,7.52,0
