stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.04,0,0,7.1,0,0,0,0,0,0,0,0,0,0,10.06,0,0,0,15.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.85,0,0,0,0,0,0,6.87,0,0,0,0
 24-34,0,0.75,0,0,0,2.88,0,0,1.69,0,0,0,0.83,0,0,0.92,184.08,0,4.49,0,0,1.47,0,49.79,0,0,0,0
 36-46,0,0,0,1.07,0,2.37,0,0,0,0,0,0,0.74,0,0,0,433.01,0,1.31,0,0,0.83,0,96.12,0,0,0,2
 48-58,0,0,0,2.84,0,34.25,0.85,0,16.02,0,0,7.02,6.49,0,0,7.27,860.14,0.71,0,0,0,0.68,0.43,113.9,0,3.9,0,0
 60-70,0,0,0,5.88,2.72,101.22,0,0,48.17,0,0,14.23,7.9,0,0,0,1459.97,0,0,0,0,3.61,0,148.95,0,5.67,0,0
 72-82,0,0.81,0,11.78,0.5,223.52,0,0,72.33,0,0,12.83,11.45,0.93,0,0,1697.68,0,0.74,1.29,0,0.73,0,126.31,0,1.36,0,0
 84-94,0,0,0,10.99,0.67,174.54,0,0,23.67,0,0,6.12,14.1,0,2.23,0,1084.55,0,0.77,0,0,1.49,0,116.05,0.86,0.57,0.63,0
 96-106,0,0,0,4.33,0,184.54,0,1,53.23,0,0.77,6.47,24.78,0,0,1.19,992.4,0,0,1.37,0,1.59,0,51.31,4.84,0,0,10.46
108-118,0,0,0,13.5,0,198.9,0,0,40.92,1.79,1.19,1.41,13.06,0,0,0.86,1087.31,0,1.39,0.9,0,2.91,0,66.86,2.26,0,0,0
120,0,3.01,0,16.17,0,231.45,0,0,107.62,2.35,0,6.8,14.98,0,0,3.46,1743.33,0,0,0,0,1.39,0,89.2,0,0,0,0
