stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,145.05,1205.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0
  5-6,106.89,1973.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.17,17.6,0,0,9.41,33.26,0,0,0,0,0,0
  7-9,25.92,75.33,17.98,0,0,110.37,0,0,0,0,56.49,0,0,0,0,0,0,0,0,1152.71,83.13,0,0,302.56,4.29,0,0,0,0,0,0
 10-12,0,57.82,55.44,0,0,60.54,0,0,0,0,14.83,0,0,0,0,0,0,0,0,841.52,34.58,0,0,273.24,0,9.31,38.58,0,8.67,0,0
 14-21,0,0,0,1.84,0.94,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.84,20.76,0,0,0,0,0,0,0,1.83,8.61,1.06,0
 24-34,0,0,0,0.6,0,9.16,0,0,5.32,0,0,0,0.63,1.09,0,14.07,0,0,1.92,113.31,0.87,0.76,2.6,0,0,0,2.39,0.88,28.12,0,0
 36-46,0,0,0,19.63,0,17.48,0,0,1.72,0,0,0,0,0,0,12.38,0,0,0.98,50.74,0,0,0,0,0,0,0,0,4.15,0,0
 48-58,0,0,0,2.47,0,37.31,0,0,12.83,0,0,3.14,0,0,0,8.07,0,0,17.4,53.41,0,1.01,1.83,0,3.46,0,0,0,18.99,0,0
 60-70,0,0,0,1.31,0,46.22,1.4,0,0,2.49,0,1.1,0,0,0,3.72,2.18,4.22,1.22,65.29,0,0,3.5,0,3.29,0,1.12,0,9.71,0.88,0
 72-82,0,0,0,3.5,0,5.13,0,0,4.32,0,0,0,0,0,3.06,5.75,0,0,0,30.74,0,0,0,0,0,0,0,0,7.44,0,0
 84-94,0,0,0,1.98,0,9.08,0,0,2.24,0.72,0,0,0,0,0,1.84,0,0,4.54,3.51,0,0,0,0,0.62,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,8.36,0,1.52,0,0,0,0,0,0,0,1.04,0,0,0,2.66,0,0,0,0,1.35,0,0,0,4.04,0,0
108-118,0,0,0,0,0,3.56,0,0,3.32,0,0,0,0,0,0,4.86,0,0,0,9.74,0,0,0,0,1.07,0,0,0,0,0,0
120,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,6.61
