stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.44,15.78,7.6,0,0,0,0,0,0,0,0,5.38,9.77,0,0,0,0,0,25.74,0,0,19.86,7.97,0,0,0,0,1.5,0.81,0,0,2.01,1.13,0,0,0.86,0,0
 24-34,0,0,46.01,1.61,0,2.47,0,3.83,2.98,3.28,0,0,24.45,160.82,1.57,0,0.94,1.15,0,207.22,0.84,31.15,146.18,96.05,24.13,0,6.99,8.16,16.04,0,0.61,0,3.84,24.65,0,0,19.49,0,0
 36-46,0,0,31.62,7.59,0,6.71,0.64,17.7,11.93,0.96,2.66,0,39.98,220.92,5.58,7.84,1.09,0,0,267.68,1.62,137.75,65.94,114.57,23.41,1.79,2.09,7.92,28.32,0,0,0,0,0,0,4.17,28.33,0,0
 48-58,0,0,51.49,9.38,0,34.73,0,39.39,39.61,17.23,0,1.19,22.62,367.07,0.6,15.74,1.14,0,5.79,271.77,0.4,233.49,99.73,338.71,34.06,0,0.4,17.62,2.29,0,0,0,0,24.11,0,7.13,36.96,1.68,9.19
 60-70,0,0,68.84,12.63,0,53.23,1.89,33.48,60.12,9.3,10.26,0,24.87,666.71,4.92,0,2.21,1.2,0,823.7,1.27,620.57,104.62,310.17,17.65,6.22,0.62,52.34,0,0,0,0,0,23.92,0,52.59,80.84,63.96,0
 72-82,1.6,0,27.64,56.84,0.78,200.17,5.96,16.27,279.36,68.12,27.84,0,108.8,661.12,0.54,0,6.98,0.62,0,2100.87,5.89,498.02,325.47,328.76,8.1,1.51,15.61,150.56,2.83,0,1.73,3.02,0,11.75,0,199.61,119.95,501.11,2.27
 84-94,0,0,20.49,56.85,0,84.65,0,3.16,120.83,36.22,12.09,0,86.58,534.45,0.72,0.74,1.76,0.96,0,831.03,0,512.72,113.39,126.16,1.34,0,3.43,96.95,10.74,0,2.14,0,0,11.83,0,289.39,49.02,457.64,0.8
 96-106,1.88,1.69,22.28,33.38,0.62,81.23,0,9.65,138.2,34.79,16.28,0,132.8,579.62,1.14,4.19,4.45,29.9,0,1138.53,0,566.95,227.34,218.08,4.27,2.35,5.35,433.73,19.72,0,5.95,0,0,6.68,1.26,309.37,76.44,508.17,6.55
108-118,0.95,0.49,38.2,27.58,1.77,86.16,0.93,11.62,160.47,65.32,24.06,0,86.44,465.59,3.41,2.63,0,1.85,0,1728.34,1.15,425.73,199.29,219.24,5.6,2.52,1.21,504.82,1.34,0,4.33,0,0,6.52,0.44,141.16,60.55,395.9,5.72
120,0,0,30.27,105.18,0,106.78,0,4.49,284.22,59.49,62.6,0,154.97,1378.37,11.81,1.11,5.15,37.86,0,2723.84,0,605.22,266.92,374.91,19.89,0,7.82,400.43,42.23,0,0,0,0,11.33,0,165.15,183.87,613.52,9.53
