stage,blastomeres,epidermis,eye,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,20.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0,0
  7-9,0,0,0,0,0,8.21,0,0,0,0,0,0,0,8.52,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0.89,0,0,0,0
 24-34,0,0,0,0,0,0,1.65,0,0.68,0,0,0,0,1.22,0,0,0.83,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.66,0,3.65,0,0,0,0
 48-58,0,0,11.19,0,0,0,0,0,0,0.37,0,0,0.58,1.53,0,0,2.37,0
 60-70,0,0,0,0,3.82,0,0,0,0,0,0,1.74,0,1.04,0,0,0,0
 72-82,0,0,2.14,1.07,0.53,0,0,0,0,0,0,0,0,0.74,0,0,0,0
 84-94,0,0,0,0,1.48,0,0,0,0,0,0,1.23,0,7.09,0,0,0,1.04
 96-106,0,1.78,0,1.98,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0
108-118,0,0,0,0,1.14,0,0,0,0,0,3.11,0.62,0,3.12,0,0.56,0,0
120,0,0,0,0,8.46,0,0,1.82,0,0,0,0,0,0,0,2.94,0,0
