stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,11.51,113.05,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,151.2,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,0,0,0,61.3,21.08,0,6.03,0,0
 10-12,0,0,0,0,0,0,0,0,0,57.19,3.32,0,0,0,0
 14-21,0,0,26.49,0,0,0,1.3,8.02,4.86,0.98,0,0.85,0,1.01,3.14
 24-34,0.88,0,3.27,2.2,0,0,0,11.16,0,14.7,0,0,0,0.78,0
 36-46,0,0,0,0.81,0.87,0,0,6.18,0.63,2.82,0,0,0,0,0.84
 48-58,0,0,0,0,0,0,0,0,0,16.49,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,3.42
 72-82,0,0,0,0,0,0.6,0,0,0,8.45,0,0,0,0,0
 84-94,0,0,0,0,3,0,0,1.17,0,2.24,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.19,0,4.9,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0
120,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0
