stage,epidermis,eye,fin.epithelia,immune,ionocyte,mesenchyme,neural,pronephros,spinal.cord,vascular.smooth.muscle
 14-21,0.89,0,0,0,0.84,0,1.1,0,0,0
 24-34,0.96,0,0.78,0,0,0,0,0.86,0,0
 36-46,1.21,0,0.57,0,0,0,8.86,0,1.34,0
 48-58,0.52,0,0.4,0,0,0,0,0,0,0
 72-82,0,4.29,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.64,0,0,0,1.28
 96-106,0.6,0,0,0,0.61,0,0,0,0,0
108-118,0,0,0,1.27,0,0,0,0,0,0
