stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,123.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,0,0,11.83,0,0,22.87,0,0,0,0,0,0,0,0,0,0,0,0,209.45,3.53,0,0,36.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.5,0,52.63,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,121.82,10.69,0,0,15.04,0,0,4.37,0,34.63,0,0,0,0,0,0,0
 14-21,0,0,10.92,4.17,3.2,11.11,0,0,0,0,0,0,1.79,0,0,1.85,0.95,0,0.95,27.51,2.83,24.24,0.98,0,0,0,0,3.99,0,10.65,4.45,0,0,0,0,0
 24-34,0,0,2.69,0,0,0,1.85,0.8,0,0,0,0,2.13,0,0,2.08,0,0,1.85,38.71,0,215.36,1.91,0,0,0.76,0,0,0,0,4.31,0,0,5.83,0,0
 36-46,0,0,0,0,0.66,0,0,0,1.02,0,0,0,0,0,0.77,1.64,0,0,0,245.12,0,339.72,0,0,0,0,0,0,0,0,11.21,0,0,16.01,0,0
 48-58,0,0,0.44,0,0.65,0,12.5,1.62,1.78,1.12,0,0,0.37,0,0,7.18,0.7,0,0.38,227.26,0,168.31,5.59,0,0,0,0,0,0,0,10.14,0,0,6.35,0,8.8
 60-70,0,0,7.28,0,0,0,32.29,0,15.15,2.92,0,0,0,0,0,10.76,0,0,0.68,373.72,0,162.2,2.19,0,0,0,0,0,0,0,6.26,0,0,0.59,0,0
 72-82,0,0,37.76,0,1.5,0,20.15,0.77,25.94,19.85,3,0,0.75,2.81,0,18.83,2.73,0,0.66,316.8,0,220.92,8.18,0,0,0,0,0,0,0,7.7,0,0,0.59,1.87,0
 84-94,0,0,22,0,4.28,2.47,13.65,0,42.85,17.19,1.66,0,0,0,4.55,9.63,1.18,0.58,0.57,303.03,0,247.97,19.85,0,0,3.76,0,0,0,0,0,4.7,0,1.01,0,0
 96-106,0,0,14.11,0,5.21,0,15.73,0,14.48,34.44,0,0,1.24,0,0,17.08,0,0,0,185.54,0,445.01,2.02,0,0,2.66,0,0,0,0,0,1.31,0,10.01,1.62,0
108-118,0,0,26.1,0,3.64,0,18.25,0,23.2,19.34,0,1.41,0,0.51,1.81,10,1.3,1.48,0,321.86,0,249.91,16.96,0,1.19,0,0,0,0,0,0,1.33,2.1,6,1.66,0
120,0,0,3.9,0,0,0,22.95,0,37.83,15.55,0,0,2.21,0,5.59,8.34,0,19.79,0,691.7,0,398.36,30.6,0,4.48,0,0,0,0,0,0,1.81,0,22.42,0,0
