stage,epidermis,eye,glial,immune,ionocyte,mesenchyme,neural,notochord,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,1.9,0,0,0,1.24,0
 24-34,0,1.7,0,0,0,0,24.81,0,0,0,6.85,0.87
 36-46,0,0.57,0,0,0,0.61,96.62,0,0,6.9,8.72,7.72
 48-58,0,24.47,0,0,0,0,134.6,0,0,0.67,7.85,0
 60-70,0.97,18.07,0,8.18,0,0,70.58,0,0.62,2.94,10.02,0
 72-82,0,30.86,3.54,0,0,0,54.06,0,0,0.86,2.86,0
 84-94,0,6.17,0,0,0.82,0,31.06,0.64,0,7.83,0,0
 96-106,0,0,0,0,0,4.36,15.53,0,0.6,1.81,0,0
108-118,0,8.6,0,0,0,0,15.41,0,0,0,0,0
120,0,0,0,2.3,0,0,101.62,0,0,0,0,0
