stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.05,0,0,0,0,0,3.32,0,0,0,0,0,7.72,0,0,0,0,0,18.67,0,0,0,0,0,431.89,14.85,0,0,130.2,0,0,5.62,17.3,0,7.28,0,0,0,0,0
 14-21,0,0,1.65,2.21,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,1563.38,0,0,0,0,0,0.81,3.68,0,0,0,0,0,0,0,4.26,10,0.81,0,0,0,0
 24-34,0,0,35.49,0.69,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,2681.2,0,1.44,0,0,15.14,84.61,0,1.03,0.64,0,0,3.75,0,0,0,2.05,10.43,0,7.78,0,0
 36-46,0,0,0,0,0,0,5.4,0,2.09,0,3.05,2.26,0,0.73,0,1.15,0,0,1254.21,0.66,6.26,1.35,0,1.97,27.94,1.57,0,0,0,0,8.05,0,0,0,0,4.74,0,0,0,0
 48-58,0,0,0,3.25,13.83,0,35.09,0,0,0,2.69,4.57,0,0,0,0,0,0,1610.09,1.11,5.98,0,0,0,65.25,0.54,0,0,0,0,7.96,0,0,0,0,11.91,0,0,0,1.73
 60-70,0,0,0,7.18,0,0,33.73,0,3.13,0,3.87,25.68,0,0,2.99,1.15,0,0,1176.2,0,3.28,0,0,5.78,69.05,0,3.32,1.79,0,0,1.2,0,0,0,0,10.01,0,0,0,0
 72-82,0,0,0,3.44,4.83,0,66.25,0,0,0,5.71,172.31,0,0,2.44,0,0,9.03,1609.76,0,16.44,0,0,6.82,114.29,1.92,0.97,0,0,0,10.23,0,0,0,0,25.4,0,1.71,0,3.91
 84-94,0,0,0,6.44,9.82,0,32.32,0,0.59,0,4.12,347.56,0,0,2.72,0,0,0,1846.24,1.82,14.31,0,0,2.27,67.29,0,0,0.74,0,0,5.33,0,0.8,0,0,0,0,0,0,0
 96-106,0,13.11,0,57.17,66.19,5.06,217.32,1.98,10.63,10.52,27.31,1781.05,0,5.36,15.3,0.56,0,3.12,5055.01,0,126.91,8.65,13.1,7.77,990.73,1.05,12.31,8.8,0,9.22,69.96,0,0.73,9.6,0,4.95,4.08,28.39,6.16,24.43
108-118,0,1.02,0,36.89,15.14,31.22,191.91,1.47,3.96,9.2,57.43,3828.45,0,6.02,10.46,1.42,2.53,0.76,10220.95,5.67,103.37,0,2.96,10.67,945.32,5.54,5.92,4.81,0,3.53,35.33,0,2.81,1.11,0,6.95,1.33,19.93,4.14,14.13
120,0,0,0,39.26,25.65,0,116.28,0,7.49,1.92,49.87,3938.84,0,4.12,6.55,0,3.91,3.15,6057.58,0,104.25,0,0,8.31,1096.56,14.34,0,4.03,0,9,34.97,0,1.14,0,0,31.89,17.99,32.38,4.69,0
