stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  3-4,63.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.07,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.83,0,3.31,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,33.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0.86,0,0,0
 24-34,0,0,3.77,0.82,0,0,0,0,0,0,0,8.28,1.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,1.89,0,1.06,0,0.6
 48-58,0,0,0,0.9,0,0,0,0,0,1.27,0,8.19,0,0,0,0,0.84,0,2.74
 60-70,0,0,0,3.09,0,0,0,0,0.82,0,0,0.8,0,0,1.7,0,0,0,0
 72-82,0,0,0,0,0,0,1.28,0,0,0.69,1.14,3.49,0,0,1.53,0,0,0,0
 84-94,0,0,0,0.76,0,9.57,0,1.41,0,0,0,1.77,0,0,0.62,0,3.17,0,0
 96-106,0,0,5.2,0,0.57,0,0,0,0,0,0,1.59,0,0,6.05,0,0,0,0
108-118,0,0,0,0,0,0.79,0,0,0,0.61,0,0,0,0,0.43,0,0,0.71,0
120,0,3.73,0,0,0,0,0,0,0,0,1.56,5.58,10.22,0,0,0,0,0,0
