stage,endoderm,epidermis,eye,fin_epithelia,glial,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature
 14-21,6.16,2.51,0.81,0,0,0,0,0,0,2.25,0,5.04,6.42,0.95,0,0,0,1.31,6.38,0
 24-34,0,0.66,0,0.6,0,0,0,0,0,7.65,0,1.09,13.45,0,0,0,0,0,0,0
 36-46,0,0,1.51,0,0,0,0,0,0,9.49,0,3.88,28.78,0,0,0,0,0,0,0
 48-58,0,0,4.41,0,0,0.68,0,0.41,0,9.41,0.77,0.4,61.89,0,0,0.88,0,0,8.82,0
 60-70,0,0,8.86,0,0,0,0,0,0,7.49,0,0.65,17.76,0,0,0,0,0,9.05,0
 72-82,0,0,14.26,0,1.55,0,0,0,0,5.75,0,1.24,29.91,0,0.75,0.88,0,0,6.3,0
 84-94,0,0.73,29.72,0,0,0,0,0,0,14.06,0,0,23.61,0,0,0.55,0,0,0,0
 96-106,0,0,2.75,0,0,0,0,0.64,0,10.97,0,1.1,10.72,0,2.65,3.72,0,0,0,0
108-118,0,0,18.11,0,4.24,0,0.93,0,0.67,8.85,1.44,0.63,35.61,0,4.24,0,1.17,0,0,2.44
120,0,0,6.02,0,2.7,0,0,0,0,6.08,0,0,4.04,0,0,0,0,0,0,0
