stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,106.99,1444.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.35,0,0,0,0,0,0,0,0,0
  5-6,76.29,1531.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.72,28.53,0,0,19.44,17.26,0,0,0,0,0,0,0,0,0
  7-9,40.82,22.84,0,41.99,0,0,224.4,0,0,0,0,15.59,0,0,0,0,0,0,0,0,0,0,1488.72,51.58,0,0,446.38,3.26,21.12,0,0,0,0,0,0,0,0
 10-12,0,47.09,0,124.18,0,0,173.7,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,1136.18,0,0,0,325.24,4.05,0,0,19.76,0,0,3.51,0,0,0
 14-21,0,0,0,0.94,8.07,6.4,3.04,0,0,2.59,0,0,0,0,0,0,0,0,3.88,0,0,7.11,104.61,1.94,0.86,0.86,13.42,12.52,0,15.18,0,0,5.27,31.71,0,0,0
 24-34,0,0,0,0,0,0,12.7,0,0,1.16,0.67,0,0,0,0.77,0,4.05,0,5.57,0,0,5.79,228.9,0.77,0.73,3.21,0,59.3,0,0,0,0.76,0.59,33.77,0,0,0
 36-46,0,0,0,0,0,0,56.15,2.46,0,9.65,0,0,0,0,0,0.56,0,0,16.74,4.97,0,4.61,452.46,0,0.81,0.57,0,93.48,0,0,0,0,0,69.9,0.85,4.58,0
 48-58,0,0,0,0,2.8,0,95.55,1.58,0,13.4,0,0,0,0,0,0.43,0.45,0,12.76,0,0.54,0.94,305.56,0,1.25,1.34,0,68.54,0,0,0,0,0,54.7,0.4,0.38,0
 60-70,0,0,0.65,0,2.51,0,186.52,0,1.48,15.7,0,0,0.6,3.33,2.32,0,0.69,1.2,17.59,0,0,2.57,399.43,0,0,0,0,100.74,0,0,0,0,0,48.44,0,0,0
 72-82,0,0,1.3,0,3.16,0,82.48,0,0,2.15,0,0,0,1.12,0.52,0,0,0,12.43,0,6.32,0,132.14,0,1.33,1.71,0,37.35,0,0,0,0,0,22.75,0,0,1.53
 84-94,0,0,0,0,0.66,0,89.74,0,0,9.01,0,0,0,0,0,1.37,0,0,6.2,0,3.67,1.24,127.12,0,0,2.09,0,46.66,0,0,0,0,0,5.93,0,1.8,0
 96-106,0,0,0,0,5.05,0,37.85,1.68,0,7.99,0,0,0,0,0.9,0,0,0,9.97,0,0,2.11,104.9,0,1.93,1.45,0,26.22,0,0,0,0,0,2.9,0.88,0.65,3.11
108-118,0,0,0,0,6.3,0,65.63,0.6,0,9.87,0,0,0,1.64,0.45,0,0,0,9.53,0,0,0.61,155.17,0,0.43,1.07,0,19.83,0,0,0,0,0,4.97,0,0.6,0
120,0,0,0,0,6.99,10.93,28.25,4.62,0,0,0,0,0,0,1.36,0,0,0,26.15,0,0,5.59,67.58,0,0,0,0,67.85,0,0,0,0,0,0,0,2.66,0
