stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,73.56,2394.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.28,0,0,0,0,0,0,0,0,0,0
  5-6,54.54,1507.28,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,29.45,6.07,0,0,13.13,32.84,0,0,0,0,0,0,0,0,0,0
  7-9,22.27,51.35,28.73,0,0,0,133.37,0,0,0,0,0,17.82,0,0,0,0,0,0,0,0,0,0,1037.67,25.87,0,0,281.01,4.34,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,17.42,5.07,0,0,0,55.97,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,706.79,37.37,0,0,281.25,0,9.99,0,33.86,0,0,0,0,0,0,0
 14-21,0,0,1.09,44.64,6.53,0,11.41,0,0,0,6.19,0,0,0,0,1.08,0,0,0,0,35.87,0,30.32,306.03,21.76,0.85,3.24,3.86,25.61,0,26.62,0,1.32,16.05,54.19,0,0,0,0
 24-34,0,0,0,6.05,1,0,50.69,0,0,0.97,4.57,0,0,0,0,0.65,0,0,0.65,1.41,19.38,0,6.01,372.58,0.64,2.71,2.12,0,10.85,0,0,3.38,0,0.63,67.16,0,3.13,0,0
 36-46,0,0,0,0,3.7,0,116,0,2.08,0,15.14,0,0,0.99,0,0,0,0,0,0,15.01,0,1.6,230.85,0.66,1.02,3.04,0,2.71,0,0,0.62,2.35,0,54.84,0,1.76,0,1.45
 48-58,0,0,0,8.82,0.6,0,137.04,0,1.27,0,16.26,0,0,0,0,0,1.22,0.49,0,0,25.66,0,3.3,122.65,1.18,0,0,0,1,0,0,0,0,0,15.54,0,1.38,0,0
 60-70,0.81,0,0,5.88,0.58,0,108.08,0.9,0,1.53,12.41,0.95,0,0,0,0,0,0,0,0,18.85,0,0.84,113.01,0,0,2.83,0,0,0,0,0,1.01,0,14.45,0,2.44,0,0
 72-82,0,0,0,1.36,12.74,0,40.96,0,0,0,5.82,0,4.15,2.73,0.64,0.66,0,0,0,0,13.83,0,3.1,56.6,0,0,0.59,0,0.55,0,0,0,0,0,1.28,0,1.13,0,0
 84-94,0,0,0,3.57,7.22,0,40.93,0,0,0,7.11,2.63,0,0,2.81,0,0,0,1.67,0.72,13.3,0.85,0.58,22.94,0.74,0,0,0,0.65,0,0,0,0,0,0,0,0.95,0,0
 96-106,0,0,0,2.18,25.76,0,72.34,0,0,0,11.64,0,0,0,2.41,0,0,0,0,0,7.84,0,0.58,31.79,0,0.89,1.86,0,3.12,0,0,0,0,0,4.05,0,0,0.58,0
108-118,0,0,0,2.54,14.6,0,33.8,0,0,0,8.39,0,0,0,1.83,0,0.44,0,2.21,0,14.34,0.62,1.14,50.92,0,0,2.13,0,0.95,0,0,0,0,0,1.71,1.35,0,0.7,0
120,0,0,0,0,28.32,5.29,114.77,0,0,0,13.43,1.14,0,0,0,0,0,0,0,0,6.46,0,2.58,99.89,0,0,8.64,0,7.37,0,0,0,0,0,10.07,3.24,0,0,0
