stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,3.42,2.06,0,3.02,0,0,0,0,0,0,0,0,0,0,5.36,0,2.27,114.42,2.96,0,0,3.09,0,0,4.4,0,0,7.24,0,0,0,0
 24-34,1.31,0,0,0,3.55,0,0,0,0,0,0,0,0,5.54,0.59,5.73,0,0.99,145.41,0.62,0,33.81,0,0,1.45,0,0,0.64,12.57,0,0,0,0
 36-46,0,0,0,0,34.08,0,0,0,0,0,0,0.74,0,0,0,5.39,0,0,170.54,0,0,51.52,0,0,1,0,0,0,35.6,0,0,0,0
 48-58,0,0,0,0,176.11,0,0,7.49,0,0,0,5.06,0,0,0,12.49,0,0,213.72,0,0,89.55,0,0,0,0,0,0,50.46,0,0,0,0
 60-70,0,5.55,0,0,412.57,10.2,0,13.89,0,0,0,0,0,0,0,8.31,0,0,243.62,0,0,96.81,0,0,6.72,0,0,0,29.4,0,1.31,0,0
 72-82,0,1.25,0,0,681.01,0,1.27,1.4,0,0.68,0,0,0,2.64,0,12.19,0,0,362.47,0,0.53,281.43,0,0,1.18,0,0.73,0,32.19,1.21,0.61,0,0
 84-94,0,3.37,1.65,0.87,513.99,0.6,0,17.63,0.62,0,0,0.83,0,0,0,21.74,0.6,0.61,210.94,0,0.69,290.98,0,2.48,2.97,0,1.1,0,14.45,0,0,0,8.23
 96-106,0,2.81,1.75,3.72,513.67,0.74,0,19.56,0,0,0,0.75,8.5,0,0,7.05,1.1,0,198.7,0,0,324.47,0,0,5.55,0,0,0,16.51,0,0,0,0.9
108-118,0,2.54,1.88,0,575.59,0,0.66,35.06,0.5,0,1.01,1.54,0,0,1.25,12.56,0,0,310.04,0,1.91,319.74,0,0,0,0,0,0,0.94,0.68,0,0,0
120,0,10.01,0,1.61,1107.59,0,0,127.88,0,0,5.55,0,0,0,12.74,21.02,0,0,699.54,0,2,479.86,0,0,0,0,0,0,45.32,0,0,10.03,0
