stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0
  5-6,20.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,17.74,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,1.94,56.52,0,0,0,0,0,0,0,0,0.86,3.92,8.7,0,0,0,0
 24-34,0,1.26,0.68,0,0,72,0,0,0,20.49,0,0,0,0.64,0,0,0,0,1.58,0,0,1.79,621.09,0,0,11.59,0,0,1.88,0,0,0.82,0.66,110.36,0,1.04,0,1.65
 36-46,0,2.81,2.38,0,0,113.09,0,0,0,116.79,0,0,0,0,0,0,0,0,9.65,0,0,0,1500.59,0,5.04,8,0,0,0.99,0,0,0,0,292.54,0,0,0,0
 48-58,0,2.49,4.62,0.38,0,330.55,0,2.9,0,246.53,0,0,0,0,0,0,0,16.54,15.72,0,1.58,1.36,2726.76,0,0,13.19,0,0,8.48,0,0.68,0,0,386.06,0.42,1.3,0,2.94
 60-70,0,1.59,5.1,0,0,601.48,0,5.14,0,307.24,0,1.93,8.25,0,0,0,0,0,19.44,0,9.41,0,4314.32,0,1.62,20.67,0,0.94,8.74,0,2.41,0,0,478.33,0,0.67,0,0
 72-82,0,3.96,9.11,1.68,0,552.75,0,0.82,0.64,320.78,0,1.84,0,0,0,1.74,6.91,0,48.56,0,1.77,4.75,4382.68,0,0.83,27.83,0,0,4.92,0,0,0,0,299.96,0.78,17.27,0.84,0
 84-94,0,1.56,26.97,0,0,518.22,0,2.74,0.67,191.87,0,2.41,0,0,9.96,0.58,0,0,39.79,5.74,0,1.51,2833.58,0.73,10.84,21.67,0,8.84,4.65,1.4,0,0,0,157.2,2.81,3.64,1.01,0
 96-106,0,0,19.14,0,0,337.09,0.79,3.33,1.28,281.95,0,0,1.49,2.11,0.76,0.84,1.69,0.65,35.73,1.82,3,1.53,2558.66,0,1.13,27.18,0,2.6,9.72,0,0.7,0,0,79.18,2.13,6.62,1.91,8.09
108-118,0,1.16,17.62,1.39,0.55,343.66,0.56,9,0.53,342.24,0.8,5.32,1.11,0,2.47,0,0.56,0,31.95,0.45,2.51,1.67,2430.65,0,0.59,46.44,0,0,1.36,0,0,0,0,88.95,0,6.05,0,0.92
120,0,0,5.66,8.58,0,472.57,0,10.21,0,266.61,0,0,8.17,0,0,0,0,0,27.58,1.65,2.47,1.49,3600.01,4.12,4.24,31.4,0,5.71,3.75,0,0,0,0,213.52,0,19.88,0,0
