stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,548.97,15386.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.28,0,0,0,0,0,0,0,0
  5-6,1211.05,21500.94,10.68,0,0,0,0,0,0,0,0,0,0,0,524.29,14.97,0,0,65.84,387.55,0,0,0,0,0,0,0,0
  7-9,114.97,206.05,53.87,0,535.89,0,0,0,44.86,0,0,0,0,0,5299.8,133.28,0,0,1555.16,4.29,247.94,0,0,0,0,0,0,0
 10-12,0,43.34,14.12,0,108.87,0,0,0,3.83,0,0,0,0,0,488.71,10.17,0,0,258.15,0,80,0,8.13,0,0,0,0,0
 14-21,0,0,0,3.37,15.56,0,1.79,0,2.04,0,0.86,3.2,0,1.31,64.65,2.24,0,0.8,5.06,1.15,4.93,19.52,0,13.51,13.89,0,0,0
 24-34,0,0,0,0,9.05,0,0,0,0,0,0,2.18,0,0,44.86,1.52,0,0.84,0,3.53,0,0,0,0.82,9.74,0.64,0,0.77
 36-46,0,0,0,0,8.47,1.12,1.29,0,0,0,0,1.8,0,0,15.55,0,0.88,0,0,0,0.91,0,0,0,0,0,0,0
 48-58,0,0,0,0,19.31,0,1.28,0,0,1.48,0,0.44,0,0.38,5.28,0,0,0,0,0.47,0.84,0,0,0,0,0,0,0
 60-70,0,0,0,0.71,14.2,0,2.51,0,0,0.72,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.14,0,0.93,0,0,0,0,0,0,0,23.34,0,0,0,0,0,0,0,0,0,1.7,0,0,0
 84-94,0,0,0,0.66,4.02,0,3.81,0,0,0,0,0,1.01,0,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.66,3.7,0,2.7,0.66,0,0,0,2.46,0,0.81,10.61,0,0,0,0,0,6.84,0,0,0,0,0,0,0
108-118,0,0,0.74,0,3.79,0,9.52,0,0,0,0,0.6,0,0,6.5,0,0,0,0,0.78,7.04,0,0,0,0,0,0.72,0
120,0,0,0,1.68,13.28,0,14.59,0,0,0,0,5.76,0,0,35.04,0,0,0,0,0,7.66,0,0,0,0,0,0,0
