stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature
  3-4,11.28,75.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,137.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.17,0,5.72,0,23.32,0,0,0,0,0,0,0,175.18,4.03,34.18,0,0,0,0,0
 10-12,0,5.73,7.89,0,7.53,0,0,0,0,0,0,0,149.65,0,110.27,0,3.03,0,0,0
 14-21,0,0,0.91,0,1.24,0,0,0,0,0,0,0,0.89,0,0,0,0,1.03,0.84,0
 24-34,0,0,0,0,2.38,0,0,0,0,0,2.45,4.73,12.92,0,0,0.74,0,0,0,0
 36-46,0,0,0,0,1.77,0,0,0,0,0,0,4.83,1.95,0,0,0.92,0,0,0,0
 48-58,0,0,0,0.62,0,0,4.63,0,3.16,6.17,0,0.39,8.86,0,0,0,0,0,1.24,1.62
 60-70,0,0,0,1.07,0.89,0,5.28,0.85,0,0,0.66,0,21.21,0,0,0,0,0,1.04,0
 72-82,0,0,0,3.35,0,0,0.81,0,0,0,1.49,0,3.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,6.77,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,3.35
 96-106,0,0,0,0,0.72,0,1.12,0,0,0,1.25,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.54,0,0.66,0,0,0,0,1.25,1.16,0,0,0,0,0,0,0
120,0,0,0,3.68,8.57,1.39,0,0,0,0,5.09,0,8.41,3.28,0,0,0,0,0,0
