stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.35,159.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.41,0,0,0,9.15,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,1.43,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.62,6.07,0,0,0,0,0.81,0,0
 36-46,0,0,6.89,0,0,0,0,0,0,0,0,0,1.46,16.65,1.15,0,0,0,0.6,0,0
 48-58,0,0,0,0,5.78,0,0,0,0,0,0,0,0.41,33.59,0,0.42,0,0,1.22,0,0
 60-70,0,0,0.6,0,3.48,0.94,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0
 72-82,0,0,4.78,4.6,1.37,0,0.66,0,0,0,0,0,0,33.7,0,0,0,0,1.09,0.95,0
 84-94,0,0,5.01,0,11.51,0,0,0,0,0,0,0,0,20.19,0,0,0,0,0,0,0
 96-106,0,0,16.1,7.34,0.56,0,0,1.9,0,0,1.25,0,0,10.02,0,0,1.87,0,4.16,0,0
108-118,0,0,13.74,0,0.45,0,0,0,0.61,0.53,0,3.87,0,24.71,0,0.47,0,0.48,0,0,0.99
120,0,0,15.38,16.67,0,0,0,0,0,0,0,0,0,24.95,0,3.46,3.33,1.21,0,0,0
