stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,1.12,0,0,3.14,0,1.8,2.62,0,0,0,0,0
 24-34,0,3.3,0,7.13,0,0,0,0,0,0,0.81,0,0,2.8,0,0,0,1.98,104.97,0.97,0,0,0,0,0,0,1.13,0.74,5.65,0,0,1.21,0,0.68
 36-46,0,0.95,0,0.91,0,0,0,1.16,0,0,0,0,0,0,0,0.87,0,1.39,289,0,1.03,0.61,0,0,0,0,0,0.83,47.81,0,0,1.36,0,0
 48-58,0,5.25,0,38.01,0,0,0,4.77,0,0,0,0,0,0,0,6.76,0,0.66,557.18,0,1.04,1.29,0,0,0,0,0,0,37.83,0,0,0.84,0,4.71
 60-70,0,22.96,4.64,65.59,0,0,0,4.28,0,0,0,0,0,0,0,7.85,9.64,0,1127.99,0,0,0,0,0,0,0,1.87,0,44,0,0,0,0,0
 72-82,0,0,1.24,128.24,0,0,6.74,21.62,0.99,0,0.58,0,0,0,0,11.23,0,0,1461.68,0,1.23,0.75,0,1.92,0,0,5.32,0,54.63,0,0,0.75,0,0
 84-94,0,7.71,0.81,177.66,0,0,0,11.34,0,0,0,0,0,0,0,26.9,5.89,5.06,1032.04,0,0,0,0,0.59,0,0,0,0,16.68,0,0,0.59,0,0
 96-106,0,16.31,0,112.47,0,0,0.69,13.12,0,0,0,0,2.59,1.13,9.82,23.52,0,0,958.4,0,0,0,0,2.53,0,0,0.73,0,13.75,0,0.78,0.69,1.91,0
108-118,0,7.23,0,156.54,0,1.28,1.91,32.61,3.18,0,0,1.5,0,0,0.68,9.51,0,0.85,1110.24,0,0,3.45,0,0.98,0,0,0,0,32.54,4.34,0,0,1.9,0
120,0,8.25,0,187.19,1.01,2,1.29,41.73,8.14,0,0,2.88,0,1.77,0,38.46,0,2.57,2854.7,0,6.53,0,0,0,2.5,0,6.3,0,42.33,0,0,0,0,0
