stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.2,71.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.67,79.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.39,0,0,9.11,0,5.98,0,21.67,0,0,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,153.06,4.52,0,0,76.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.22,0,13.2,0,0,0,32.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.37,14.86,0,0,99.09,0,0,0,0,20.09,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,2.77,40.38,11.63,0,11.14,0,0,0,8.38,2.24,0,0,0,0.83,0,0,0,14.89,0,0,20.99,154.05,4.71,1.79,2.75,2.53,0,5.04,1.12,12.65,4.38,6.52,23.12,90.51,0,0,6.69,0,0
 24-34,0,0,0.8,2.92,18.76,0.81,0,19.54,0,0.62,1.96,13.87,1.55,0,0,0,2.68,0.86,0,0,32.03,0,0,16.31,252.58,1.3,7.74,1.23,0,0,28.78,0,0,1.58,0,2.54,120.17,0,0,11.22,0,0
 36-46,0,0,0,0,6.02,0,0,15.63,0,1.15,0,12.5,0,0,0,0,0,2.88,0,0,28.17,0,1.58,9.12,202.67,0,7.75,14.33,0,0,34.56,0,0,3.76,0,0,96.11,0,0,4.39,0,0
 48-58,0,0,0.42,0,4.64,0,0,87.48,0,5.3,1.36,15.66,0.97,0,0,0,0,3.6,0,0,22.87,0.91,0,8.87,220.67,12.73,8.47,2.32,0,0,12.69,0,0,0,0,0,64.09,0,0,1.11,0,0
 60-70,0,0,0,0,12.18,0.63,0,91.75,0,2.51,4.43,7.11,0.78,0,0,0,0,6.59,1.49,0,36.38,0,1.32,2.94,109.8,7.77,5.7,15.29,0,0,5.22,0,0,0,0,0,33.29,2.18,5.55,1.58,0.87,0
 72-82,0,0,0.58,0,2,3.36,0,49.18,0,0,1.4,12.78,0.99,0,0.93,0,1.22,2.91,0,0,38.29,0.55,1.29,0,167.76,0,14.59,12.14,0,0,12.64,0,0,0,0,0,29.46,1.16,3.56,8.47,3.96,0
 84-94,0,0,1.86,0,9.27,6.63,0,72.43,2.3,3.35,0,16.23,0.81,0.99,0,0,1.14,0.78,0,2.53,49.63,0,6.65,2.39,111.92,1.52,2.84,8.07,0,0,9.25,0,0,0.62,0,0,11.35,0,1.57,2.72,2.44,0.73
 96-106,0,0,0,0,12.08,10.67,0.6,60.85,0,1.82,0.85,30.24,0,0,0,0,0,0,3.93,0,30.22,1.42,0,6.19,75.15,1.36,15.87,6.84,0,0,17.69,0,0,0,0.6,0,32.39,3.84,2.45,9.51,2.24,2.55
108-118,0,0,3.94,0,5.94,5.43,6.46,35.19,6.29,5.38,2.68,15.89,4.6,0,0,0.61,1.08,0,0,1.75,38.38,3.42,0,0,136.86,0,5.93,20.06,0,2.37,13.36,0,0,0,0,0,11.25,4.1,0,7.54,0,0
120,0,0,2.96,0,28.3,0,0,30.16,0,1.03,5.77,36.78,11.87,0,0,0,6.54,1.04,8.03,0,31.88,0,0,0,173.86,0,17.4,21.11,0,0,10.41,0,0,0,0,0,19.93,0,0,7.09,0,0
