stage,epidermis,eye,fin.epithelia,glial,heart,mesenchyme,muscle,neural,pericytes,periderm,slow.muscle,spinal.cord
 10-12,0,0,0,0,0,0,0,18.04,0,0,0,0
 14-21,2.08,0.91,0,0,0,0,0,3.3,0,0,0,9.35
 24-34,0,1.56,0,0.74,0,1.27,0,28.05,0,0,0,23.28
 36-46,0,3.28,0,0,0,0,0.96,16.5,0,0,0,35.93
 48-58,0,20.01,0,1.2,0,0,0,11.02,0,0.49,0.46,5.88
 60-70,0,17.89,0,0,0,0,0,5.47,0,0,0,0
 72-82,0,5.52,0,10.72,0,3.3,0,3.31,0,0,0,1.98
 84-94,0,0,0,3.23,0,3.98,0,2.46,0,0,0,0
 96-106,0,3.38,0,1.1,2.53,0,0,4.08,1.92,0,0,0
108-118,0.67,2.12,0.48,0,0.47,1.34,0,0,0,0,0,0
120,1.28,5.09,0,10.24,0,0,0,21.37,0,0,0,0
