stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,253.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14,0,0,0,0,0,0,0,0,0
  5-6,33.35,677.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,37.26,0,13.31,0,0,0,74.77,0,0,0,0,0,13.52,0,0,0,0,0,0,0,0,0,0,0,305.13,8.87,0,0,145.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.31,0,31.07,0,0,0,32.37,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0,0,0,0,315.78,3.65,0,0,108.98,0,0,0,5.44,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,59.85,2.39,0,5.51,0,0.82,0,0.84,0,4.85,0,0,0,0,0,1.46,1.54,11.65,0,0,6.13,33.7,0,0,11.42,0.97,0,5.86,4.43,0,4.21,12.4,0,0,0,0,0
 24-34,0,0,0.65,0,15.71,0,0,3.74,0,4.56,0,0,1.4,0,0,0,0,0,0,0,0.6,22.48,0,0,5.5,229.17,1.74,15.73,58.11,0,0,0,0,3.11,1.26,30.81,0,0,5.54,0,0
 36-46,0,0,0.95,0.72,33.79,0,0,16.48,0,4.74,0,7.55,2.34,0,0,0,0,0,0,0.62,0.66,26.73,0,0.6,6.68,385.25,0,4.3,23.65,0,0,3.19,0,0.86,0,57.07,0,0,0,0,1.16
 48-58,0,0,0,0,17.1,0.69,0,55.67,0,1.12,0,14.78,2.52,0,0.67,0,0.61,0,0,2.47,2.48,53.22,0,1.13,1.2,506.9,0.65,3.46,24.17,0,0,0.99,0,2.22,0,85.59,0,0.61,0.62,0,0
 60-70,0,0,2.83,0,24.91,0,0,88.81,0,2.37,0.65,41.07,19.29,0.89,0,0,0,2.03,0.74,3.49,0,74.57,0,1.26,4.59,814.28,0,4.87,20.14,0,2.09,0,0,1.72,0,104.46,0,2.03,0.59,0.61,0
 72-82,0,0,0.68,0,10.33,0,0,88.87,0,2.07,3.77,20.2,34.76,0,2.55,0,0,0,0,7.76,3.71,56.01,0,7.38,5.23,480.74,0.73,1.8,24.05,0,0,0,0,0,0,39.04,0,1.03,3.23,0.49,0
 84-94,0,0,1.15,0,37.06,1.47,0,83.31,1.74,3.13,1.58,11.12,55.5,0,0,0,0,0,1.23,2.68,9.69,60.57,0,0.58,5.23,399.73,1.11,0.83,16.61,0,0,0,0,3.22,0,35.23,0.9,10.16,3.31,2.46,0.55
 96-106,0,0,4,0,30.6,3,0,68.62,0,8.2,0.77,19.62,104.32,0,2.53,0.64,0,0.75,5.18,0,0,58.28,0,12.04,12.73,279.56,0,8.45,20.63,0,0,0.96,0,0,0,22.32,0.83,7.51,0,2.31,0
108-118,0,0,0.94,0,30.78,0,1.56,33.74,0,6.82,0.49,20.62,80.46,0,0,0,3.05,1.26,0.74,2.46,0,72.98,0.43,1.48,2.22,415.6,0,4.33,8.16,0,0,10.36,0,0,0,28.86,0,0,1.35,5.79,0
120,0,0,11.31,0,40.3,0,0,44.74,0,4.05,0,65.05,40.07,0,6.79,0,0,0,0,17.82,0,35.75,0,2.47,0,935.06,0,1.26,30.35,0,6.29,0,0,0,0,27.56,0,0,2.22,0,0
