stage,epidermis,erythrocytes,eye,fast_muscle,glial,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,5.77,0,0,0,0,0,8.15,0,0
 14-21,2.46,0,1.13,0,0,1.84,3.3,0,10.29,0,3.32,12.81,186.31,435.6,1.87,0
 24-34,0.68,0,0,0,1.17,0,0,13.09,0,0,0.79,0,7.7,146.71,1.62,0
 36-46,1.97,0,0,8.44,1.65,0,4.31,9.11,0,0,2.77,0,16.76,8.83,2.08,0
 48-58,0,0,0.59,3.76,1.45,0.39,28.46,3.35,0,0,0,0,0,0,0,0
 60-70,0,0,0.92,2,0,1.96,15.05,11.77,0,0,0,0,0.7,0,0,0
 72-82,0,0,9.74,1.08,5.74,2.36,4.71,7.47,0,0,0,0,0,0,0,0.96
 84-94,0,0.68,7.21,0,1.8,0.99,13.48,15,0,2.63,0,0,0,0,0,0
 96-106,0,0,0.61,1.71,2.7,4.2,14.39,9.45,0,0,0,0,0.6,0,0,0.93
108-118,0,0.66,1.54,1.41,2.36,1.96,33.06,3.99,0,0,0,0,0,0,0,2.55
120,0,1.75,0,2.05,22.09,1.64,51.98,3.74,0,0,0,0,0,0,0,0
