stage,blastomeres,endoderm,fin_epithelia,mural_cell,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,16.11,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,14.75,0,48.42,0,0,0,0
 10-12,0,3.34,0,0,127.71,0,59.36,0,0,3.24,0
 14-21,0,0,0,0,0,0,0,0.96,2.32,0,1.01
 24-34,0,0,0,0,0,0,0,0.72,0,0,0.74
 36-46,0,0,0,0,0,0,0,4.98,0,0,9.05
 48-58,0,0,0,0,0,0,0,1.04,0,0,0
 60-70,0,0,0,0.66,0,0,0,4.61,0,0,0
 72-82,0,0,0,0,0.5,0.84,0,0.56,0,0,0
 84-94,0,0,1.22,0,0,0,0,0,0,0,0
120,0,0,0,0,11.71,0,0,0,0,0,0
