stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.51,0,0,0,0,0,0,0,0,331.19,0,0,0,0,0,0,0,0,77.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.73,541.74,3.43,0,459.11,0,0,0,0,212.59,0,1.56,0,0,0,18.42,0,0,51.23,1.48,6.07,0,1.06,1.24,0.83,4.47,0,0,0
 24-34,0,0,0,43.62,0,0,664.03,0,0,0,0,54.74,0,0,1.07,3.71,0.62,9.27,0,0.78,26.75,0,0,0,0.68,0,0,3.71,1.82,0,1.49
 36-46,0,0,0,0.57,0,0,327.4,0,0,0,0,28.35,0,0,0,0,0,0.93,0,1.49,23.87,0,0,0,20.84,0,0,1.75,0,0,0
 48-58,0,0,0,1.49,0,0,223.82,0,0.6,0,0,43.89,0,0,0,0,0,0,0,0,23.39,0,0,0,13.88,0,0,2.09,0,0,0
 60-70,0,0,0,0.68,0,0,136.66,0,0,1.02,0,1.35,0,0,0,0,0,4.93,0,0,2.46,0,0,1.82,6.28,0,0,0,0,0,8.61
 72-82,0,0,0,0,1.23,0,129.49,0,0.77,1.94,0.57,7.16,0,0,0,0,0,1.79,0,0.61,13.22,0,0,1.72,0,0,0,0,0,0,0
 84-94,0,2.82,0,3.71,2.73,0,218.85,0,1.1,1.95,0.65,14.35,1.13,0,0,0,0,0.88,0,0,24.71,0,0,6.4,8.32,0,0,0,0,0,0
 96-106,0,0,0,5.54,0,0,213.95,0,0,0,2.21,1.06,0.83,0,0,0,1.03,8.97,1.38,2.19,2.91,0,0,15.61,14.94,0,0,0,0,0,0
108-118,0,0,0,1.94,0,2.13,203.68,0.44,0,1.55,0,0,0,0,0,0,0,5.38,0,0,7.06,0,0,6.04,4.46,0,0,0,4.37,3.08,0
120,0,0,0,1.6,0,0,167.69,0,0,6.99,4.87,0,0,0,0,5,0,3.92,0,0,7.79,0,0,17.1,0,0,0,0,0,0,0
