stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,248.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.41,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,26.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.01,0,0,163.83,0,5.95,0,10.76,0,0,0,0,0,14.36,0,0,0,0,0,0,0,0,0,0,0,277.21,52.55,0,0,133.4,0,0,12.83,0,0,0,0,0,0,0
 10-12,0,17.31,0,59.18,0,5.34,0,46.75,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,905.39,44.18,0,0,61.78,0,0,9.68,13.09,0,0,0,0,0,0
 14-21,0,0,1.11,2.29,9.05,2.66,0,28.3,0,0,0,21.22,0,0,0,0,0,0.87,0,5.12,4.19,10.93,0,0,0,623.24,4.93,0.86,45.03,0.86,0,3.85,0,2.72,213.06,0,0,0,0,2.69
 24-34,0,0,0,0.59,2.18,0.89,0,65.48,0,0,0,43.9,0,0,1.94,0,2.05,0,0,2.38,5.24,23.6,0,0,1.46,1436.93,0,31.94,41.01,0,0,0,0.91,0,383.53,0,0,1.69,0,6.78
 36-46,0,0,0,0,0,0,0,256.78,0,0,0.78,277.39,0,0,0,0,0,3.87,0,0,9.36,25.87,0,0,15.6,2008.11,0.55,39.55,27.54,0,8.02,0,1.02,0,736.71,0,0,0,0,9.91
 48-58,0,0,0,0,0,0,0,404.91,0,0,0,601.41,2.14,4.11,0,0,0,3.96,0,0.37,3.23,40.07,0,0.45,2.93,892.7,0,29.36,15.74,0,0,0,0,0,574.11,0,0,0,0,8.28
 60-70,0,0,0,0,2.4,0,0,1253.5,0,0,0,806.81,0,0.66,1.68,0.65,0,5.85,0,0,3.1,51.45,0,0,0,608.08,0,37.98,13.11,0,0,0,0,0,316.82,0,0,0,0,12.83
 72-82,0,0,0.69,0,6.85,0,0,1937.88,0,0,0.82,927.69,0,0.6,0,1.18,0.89,9.8,0,0.96,0,54.43,0,0,2.54,447.78,0,56.61,37.97,0,1.94,0,0,0,146.4,1.74,0,3.84,0,5.7
 84-94,0,0,0,0,10.99,2.9,3.55,2172.79,0.56,1.33,0,762.23,0,0,1.02,0,0,16.68,0,0,3.19,42.28,0.59,3.82,0,375.43,0,51.77,36.06,0,0.56,0,0.7,0,162.5,1.01,0,0,0,8
 96-106,0,0,1.36,0,17.57,5.59,1.33,2732.75,0,11.32,1.81,893.36,2.04,0,0,0,0,3.21,0,5.51,0.67,45.67,0,0,1.68,360.03,0,80.96,37.86,0,14.69,0,0,0,69.42,2.18,1.15,4.49,2.08,0
108-118,0,0,0.92,0,5.48,4.69,16.95,2940.61,0,1.36,1.07,954.94,3.8,0,0,0.53,1.21,19.14,1.31,4.35,0,47.75,0,6.83,2.45,408.24,1.61,67.62,50.67,0,1.59,0,0.78,0,53.12,2.89,0,4.41,0,0
120,0,0,0,0,13.82,9,7.24,2346.34,0,9.31,6.64,750.57,1.68,0,0,0,3.03,14.95,4.64,0,0,18.61,2.21,0,4.6,368.33,4.21,37.09,14.42,0,2.14,0,0,0,41.95,1.27,0,0,0,0
