stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0.98,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,7.01,0,0,0,0,0,25.36,0,0,0,0,0,0
 24-34,0,0,0,14.57,0,0,1.91,0,0,0,0,1.66,0,3.01,0,2.36,0,0.82,15.49,0,0,393.85,0,0,0,25.21,0,86.93,0,2.19,0,0,0,0
 36-46,0,0,0,6.87,0,0,0,0,0,0,3.8,0.83,0,6.81,0,1.42,0,1.36,11.33,0,0,1081.48,0,0,0,23.07,0,50.38,0,0.61,0,0,0,0
 48-58,0,0,0,17.78,0,5.61,0.4,0,0.56,0,11.19,4.08,0,0,0,0,0,0.59,14.45,0,0,449.47,1.36,0,0,27.87,0,29.4,0,2.32,0,0,0,0
 60-70,0,2.39,0,12.16,0,11.17,0,0,21.48,0.58,10.62,0,1.55,12.19,0,0,0,3.43,23.23,0,0.93,208.26,1.19,0,0,4.95,0,30.17,2.94,0,20.22,0,0,0
 72-82,0,1.47,0,18.23,0,33.8,1.27,0,73.55,13.9,1.57,0,0,0,0,0,3.49,0.59,54.48,0,0.96,261.2,0,0,0,1.8,0,48.23,0,1.12,60.68,0,0,5.6
 84-94,0,4.71,0,25,6.7,73.3,2.5,0,126.16,61.14,2.11,0,0,2.04,0,1.2,2.64,6.2,62.76,0,0,327.95,0.77,1.14,4.14,15.35,0,109.44,0,11.13,267.14,3.02,3.5,0
 96-106,0,2.28,0,35.45,7.82,79.39,0,4.32,210.91,96.79,0,2.11,1.21,1.21,0,0,22.46,17.89,67.42,0,1.09,190.56,0,0.65,3.91,30.98,1.35,90.84,0,5.43,404.76,7.44,0,0
108-118,0,7,0.87,20.39,0,67.96,1.66,0.72,253.2,83.66,0,0,1.38,1.7,9.16,0.49,1.74,3.88,44.86,0.46,1.08,128.64,0,0,0,22.55,0,78.2,0,0,478.27,0.59,0.57,1.03
120,0,0,0,26.04,0,69.41,1.18,0,251.21,61,0,0,0,7.32,0,0,0,0,39.6,0,2.2,78.87,0,0,0,14.07,0,62.4,0,0,118.18,0,0,0
