stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,0,51.67,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0
  5-6,6.33,40.62,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0
  7-9,3.69,0,0,0,0,0,0,0,0,0,0,50.87,10.01,3.8,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,35.03,0,13.93,0,4.63,0,0
 14-21,0,0,1.05,2.4,0,0,0,0,0,1.12,0,7.11,0,0,0,0,2.26,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.38,7.22,0,0,0,0,0,0
 36-46,0,0,0,0,0.74,0,0,0,0,0,0,4.85,0,0,0,0,0,0
 48-58,0,0,0,3.79,0.7,0,0,0,0,0.47,0,0,0,0,0,0,0,0
 60-70,0,0,0,22.2,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.8,0.78,0,1.2,0,0.79,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,13.68,0,0,0,0,0,0,0,0,2.32,0,0,0,0,6.48
 96-106,0,0,1.03,41.88,0,8.94,0,0,0,4.22,0,1.39,0.81,0,0,0,0,0
108-118,0,0,0,9.58,7.25,0,1.15,1.34,0,0.6,0,2.11,0,0,0.68,0,0,1.35
120,0,0,0,1.21,0,0,0,0,0,20.07,0,2.85,0,0,0,0,0,0
