stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.46,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,3.29,3.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,1.58,1.01,0,0
 24-34,0,0,0,0,0,0,0,0,1.56,0,0,5.91,0,0,0,0,0,4.71,0,0
 36-46,0,0,0,0.57,0,1.59,0,0,0,0,0,7.56,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,2.01,0,0,0,5.43,3.57,0,0.45,10.66,0,0,0,0,0,2.05,0,0
 60-70,0,0,0,2.02,0,1.58,0,0,0,0,0,3.88,0,0,0,0,0,0,0.57,0
 72-82,0,0,0.78,0,0,1.14,0,0,8.93,0,0,17.94,0,0,0,0,0,0,0,0.93
 84-94,0,0,0,0.71,0,0.74,0,0,0.62,0,0,3.18,0,0,1.93,0,0,0,0,0
 96-106,0,0,0,4.77,3.37,0,0.73,0,0,0,2.02,5.32,0,0,1.62,0,0,0,2.45,0
108-118,0,0,0,3.38,0,2.99,0,0,2.07,1,1.99,7.56,0,0,0,0,0,0.7,0,0
120,0,0,1.14,3.71,0,4.93,0,0,0,0,0,6.78,0,0,0,0,0,0,0,0
