stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.18,94.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.37,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.69,4.97,0,0,36.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,0,0,0,0,19.3,0,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0,283.96,0,0,0,65.5,0,0,12.59,0,0,0,4.75,9.81,0,0,0,0,0
 14-21,0,0,2.09,1.14,41.97,2.99,20.68,0,0,0,3.32,0,0,5.8,0,0,0,2.7,0,1.76,12.98,0,0,4.12,152.66,48.76,2.25,0.95,3.77,0,0,0.91,9.76,0.99,9.91,17,140.81,0,0,10.55,0,1.92
 24-34,0,0,5.28,0.65,32.2,0.66,123.84,0,0,1.98,22.59,0,0,7.11,0,1.73,0,30.5,0,2.77,50.16,0,0,10.41,811.11,15.05,22.47,9.57,0,0,4.68,0,2.33,5.63,3.37,9.11,228.2,0,0,106.63,0,2.87
 36-46,0,0,0,0,20.98,0,651.93,0,0.68,2.59,54.16,0,0,5.85,0,0.68,0.56,44.16,0.85,4.88,50.47,1.02,0,13.03,1508.38,14.41,16.47,20.38,0,0,11.49,0,0,7.79,2.55,0,339.64,0,0,104.61,0,5.24
 48-58,0,0,0.55,0,14.37,0,1930.76,2.03,0.93,8.64,173.77,0,0,9.27,0,0,2.36,37.79,8.61,8.57,93.26,0.5,0.74,9.76,2105.76,3.97,9.83,4.55,0,0.97,2.4,0,0,3.59,2.93,0,526.53,0,0,96.73,0,8.43
 60-70,0,0,0.86,0,4.64,0,2255.29,0,2.34,6.79,262.57,2.18,0,12.96,4.61,0,2.29,10.95,0,12.97,109.48,0,6.09,6.73,1756.43,3.4,8.22,12.38,0,0,13.28,0,0,2.64,0.64,0,401.22,0.61,9.36,95.13,0.81,5.25
 72-82,0,0,5.64,0,8.8,0,2238.83,1.33,0.68,2.32,177,2.49,0,11.44,3.75,0.83,1.32,7.45,8.51,10.27,164.01,2.26,3.25,14.17,2013.5,1.98,17.94,16.42,0,3,6.75,0,0,5.68,0,0,385.29,3.33,6.09,214.5,6.99,2.88
 84-94,0,0,4.84,0,13.88,0,1410.74,4.08,2.76,7.64,134.12,5.52,0,4.13,2.32,1.28,4.54,15.13,1.13,5.1,118.73,0,10.12,8.89,1178.1,7.23,17.02,9.57,0,7.18,9.53,0,0,23.2,0.63,0,219.98,0.66,3.92,175.48,2.45,17.83
 96-106,0,0,5.45,0,17.81,10.58,999.37,0,0,3.31,121.21,6.23,0,10.35,1.35,0,14.78,1.53,1.4,3.2,150.81,1.13,0,5.09,888.02,7.43,23.66,6.94,0,1.67,8.04,2.29,0,14.95,0.64,0,86.07,0,4.88,171.94,6.05,8.55
108-118,0,0,6.42,0,21.52,0.92,942.48,6.07,0.42,2.1,138.46,5.89,0,2.92,2.48,1.7,8.87,3.29,15.96,12.86,108.87,0,8.07,9.09,957,9.3,9.17,4.2,0,1.84,8.98,0,0,13.9,0.9,0,84.09,0.6,8.32,127.09,7.15,16.46
120,0,0,0,0,24.7,9.18,743.68,0,1.37,0,187.99,6.22,0,14.22,0,0,10.15,9.45,2.27,4.75,114.47,0,0,4.61,869.52,4.5,22.41,8.7,0,0,1.88,0,0,13.58,0,0,89.49,0,0,193.15,2.01,0
