stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.99,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.61,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.6,182.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.26,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.09,0,0,0,79.71,0,207.01,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.97,0,0,0,19.59,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,122.15,9.56,0,0,161.87,0,56.44,0,0,10.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.01,75.87,0,30,0,0,0,0,0.91,0.84,0,0,0,0,0.97,24.82,1.19,0.93,0,2.01,25.37,16.6,0,1.05,10.21,0,75.51,0,67.02,0,3.34,23.13,1.77,0,0,94.71,0,41.74
 24-34,0,0,0,1.78,2.49,0,55.65,0,0.74,0.92,0,6.16,0,1.97,0.79,4.13,0,4.03,58.98,7.1,0.63,0,4.14,29.87,0.7,0.74,0,1,0,61.8,0,0,8.1,2.34,17.67,2.39,0,0,271.47,0,92.51
 36-46,0,0,0,1.32,0,0,8.4,2.6,0.78,2.23,0,0,0,6.12,1.49,8.62,0,2.76,60.19,5.26,1.37,0,13.77,32.14,0.92,0,0,0,0,48.62,0,0,3.16,0.74,0,3.55,0,0,100.17,0,105.91
 48-58,0,0,0,0.81,0,0,23.77,0,1.53,6.63,0,0,1.83,1.08,0,5.06,0,0,33.34,9.11,0.82,0,8.74,18.14,0.39,0,0,0,0,43.27,0,0,4.68,2.18,0,5.16,0,0,50.93,0,147.76
 60-70,0,0,0,13.56,0,0,16.75,0,3.44,7.5,0.79,0,0,0,0,14.61,0,0,11.52,8.77,0,0,0.58,2.8,0,0,0,0,0,33,0,0,5.06,0,0,0.61,0.61,0,32.5,0,52.27
 72-82,0,0,0,7.73,0,0,4.5,0,0.62,1.38,3.01,0,0.58,0.61,0,12.42,0,0,14.85,14.45,0,0.56,0.86,11.98,0,0,1.04,0,0,17.95,0,0,13.97,0,0,1.36,0.53,1.61,54.03,0,41.19
 84-94,0,0,0,6.31,0,0,18.84,0,2.18,5.07,5.23,0,0,1.8,0.71,25.18,0,5,4.52,31.75,0,1.41,0.56,13.58,0,0,0,0,0,62.87,0,0,28.07,0,0,0,0,1.7,48.55,0,30.06
 96-106,0,0,0,12.69,2.92,0,26.99,1.66,7.05,2.81,8.63,0,0.92,2.63,1.99,22.02,0.79,0.7,0,22.76,1.74,0,2.09,16.66,0,0,0,0,0.81,44.24,0,0,16,0,0,0.66,0.83,0.79,68.14,0.91,56.38
108-118,0,0,0,9.08,0,0,4.63,2.28,0,4.77,11.38,0,0.47,3.91,1.28,26.4,0,0,5.78,19.8,1.77,0.98,1.78,5.42,0,0,0,0,9.3,41.74,0,0,11.27,0,0,0.57,0,0,76.39,1.93,51.39
120,0,0,0,9.82,3.18,2.35,0,3.35,0,1.85,25.04,0,0,0,8.27,23.72,0,4.74,6.97,28.79,0,3.7,0,18.56,1.25,0,0,0,4.22,50.92,0,0,13.17,0,0,0,0,0,54.9,0,9.94
