stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,0,0,0,5.18,0,0,0,0,0,0,0,0
 10-12,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.9,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.31,2.31,0,0,0,50.45,0.97,0,0,0,0,0,6.72,0,0,0.91,23.3,0,7.64,18.12,0.86,0,0,106.3,192.69,0,0,0,0
 24-34,0,0,0,0.86,0.91,0,0.69,0.69,33.9,0,0,0,0,10.79,0,1.86,0,0,2.11,35.69,0,51.27,8.33,0,0,0,93,81.5,0,0,0,0
 36-46,0,0,0,0.7,0,0,4.1,0,23.13,0,0,0,0,0,0,0.94,0,0,0,46.83,0,76.83,6.48,0,0,0,35.56,39.68,0,0,0,0
 48-58,0,0,0,0,0,0,4.22,0,22.94,0.41,0,0,0,3.86,0,1.7,0,0,0,16.49,0,46.58,8.71,0,0,0,14.21,51.13,0,0,0,0
 60-70,0,0,0,0,0,0,16.99,0,37.91,0,0,0,0,17.39,0,0,1.53,0,0,27.23,2.75,79.3,12.95,0,0,0,11.79,38.61,0,0,0,0
 72-82,0,2.25,0,0,0,0,7.65,0,24.39,0,0,0,0,30.96,0,1.03,0.56,0,0,26.93,0,102.64,33.05,0,2.6,0,3.99,18.99,0,0,0,0
 84-94,0,1.19,3.91,0.69,0,0,19.33,0,17.42,0,0,0,1.76,31.54,0,0,0,0,0,28.07,0,100.88,36.17,0,0,1.4,14.87,36.92,1.17,0,0,0.62
 96-106,0,1.1,3.72,0,0,0,27.07,0,23.2,0.71,2.28,0.66,0,75.22,0,0,0,0,1.26,10.57,0,132.51,40.23,0,8.13,0,6.58,26.52,0,0,0,0
108-118,0,0.98,1.77,2.44,0,0,16.02,0,11,0,0,0,0,34.55,1.62,3.88,0,1.48,0,22.55,0.56,95.32,29.38,0,0,0,14.45,4.88,0.67,0,0,0
120,0,0,0,2.74,0,1.91,36.72,0,0,0,0,0,0,39.61,0,0,0,0,0,4.92,0,88.02,43.62,0,0,0,6.55,0,0,1.52,3.69,0
