stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,periderm,spinal_cord,taste,xanthophores
 14-21,0,0,0,0,0.98,0,1.17,0.88,0,0,1.15,0,0
 24-34,0,0,2.44,0.68,3.44,0,0,24.13,0,0,2.02,0,0
 36-46,0,0,0.6,0,0,0,0.96,66.16,0,0,0.65,0,7.29
 48-58,0,0,2.48,9.76,1.41,0,2.86,51.25,0,1.88,0,0,0
 60-70,0,0,0,0,1.12,0,0,40.23,1.51,3.21,0,0,0
 72-82,0,0,1.16,7.8,17.63,2.74,0.95,100.23,0,5.05,0,0,0
 84-94,0,0.79,3.83,1.13,4.73,0,0,93.05,0,3.02,0,1.17,0
 96-106,0,0,2.71,7.31,4.14,0,0.91,59.41,0.61,1.99,0,0,1.22
108-118,0,0,0,0.48,51.66,0,6.43,222.7,0.41,1.39,7.44,0,0
120,8.9,0,4.71,3.48,12.97,0,0,306.52,0,0,0,0,0
