stage,blastomeres,endoderm,epidermis,eye,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,24.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.61,0,0,0,0,12.18,0,0,0,0,7.31,0,5.88,0,0
 14-21,0,0,0.88,0,2.22,0,5.4,0,0,0,1.17,0,0.83,1.4,0,0
 24-34,0,0,0,0,9.18,2.21,9.88,0,0,3.33,0,0,0,0.76,0,0
 36-46,0,0,0,0.62,6.68,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,3.88,0.63,3.06,0,0.43,0,0,0,0,0,0.58,0
 60-70,0,0,0,0.99,0,0,12.9,0,0,0,0,0,0,0.88,0,0
 72-82,0,0,0,0.65,2.28,0,2.62,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.25,0,0,3.14,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
108-118,0,0,0,0,3.32,0.76,3.19,2.3,0,0,0,0,0,0,0,0.62
120,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0
