stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,37.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.51,0,0,5.85,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,46.34,0,0,0,8.1,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.16,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.02,2.05,0,0,0,0,0,0,0,0,0,0,0,76.84,2.44,0,0,1.2,13.26,0,0,0,0,0,0,0,2.27,0,0,19.44
 24-34,0,0,0,4.28,0,11.98,0,0,0,2.39,0.67,0,1.37,0,2.11,0,0,1281.49,7.49,0,0,1.3,82.33,0,0,0.68,0,1.99,0,0.69,14.78,0,1.28,53.82
 36-46,0,0,0,0,0,8.4,3.67,0,0,3.89,0,0,0,0,0.71,0,37.38,5433.45,11.5,0,0,1.42,84.68,0,0,0,0,6.25,0,0,13.48,0,3.83,51.33
 48-58,0,0,0,6.61,0.64,77.43,0,0,0,6.07,0,0,0,0,32.64,0.47,19.61,4006.16,18.19,0,0.39,0.51,90.74,10.59,0,2.05,0,3.09,0,0,14.64,0,17.69,14.43
 60-70,0,0,0,8.28,0.8,35.13,1.01,0,0,13.86,0,0,0,0,9.15,0,0,3292.5,4.23,0,0,0,39.82,0,0,0.61,0,1.93,0,0,2.81,0,1.85,8.83
 72-82,0,0,0,3.97,5.09,42.69,0,1.31,1.27,8.75,0,0,0,0.49,6.54,0,16.88,2070.81,31.94,0,2.24,0.56,65.54,0,3.04,0,0,2.43,0,0,0,1.44,4.18,2.89
 84-94,0,0,0,1.54,2.88,34.17,0,2.91,1.1,2.09,1.78,0,0,2.13,19.92,0,36.82,3769.13,16.52,3.56,0,3.59,49.6,0,5.16,0,0,14.57,1.98,0,22.91,0,0,2.76
 96-106,0,0,0,4.81,7.91,25.9,4.47,0,0,11.23,0,0,1.6,3.58,35.01,0,0,1793.83,28.93,0,1.03,0,100.99,0,0,4.63,0,6.98,0,0,0,3.94,0.79,27.03
108-118,0,0.8,0,0.93,0.98,121.72,0,0.96,0,13.07,0,0,0,2.92,11.46,0,1.74,2613.73,20.95,0,0,0,69.81,1.94,0,0,0,7.91,0.59,0,1.2,0,0,20.87
120,0,0,0,6.36,2.76,39.75,0,0,0,17.79,7.56,0,0,0,0,0,0,953.75,18.89,0,0,0,47.19,0,0,0,0,23.62,0,0,0,0,0,0
