stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  5-6,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.64,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,56.36,18.85,0,0,5.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.16,0,0,0,8.86,0,0,0,0,0,0,0
 14-21,0,0,1.16,0.94,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,1.02,0,0,1.08,0,2.89,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0.72,0,1.54,57.9,0,4.23,0,0,0,0,0,4.88,0,0,0
 36-46,0,0,0,0,0,0,0,1.07,0,0,0.81,0.56,0,0.88,0,0,154.94,0,0,0,0,0,0,0,16,0,0,0
 48-58,0,0,2.48,0,15.42,0.93,0.48,2.45,0,0,4.28,0,0,1.92,0,0.42,331.46,0,2.02,0,0,1.24,0,0,28.5,0,0,0
 60-70,0,0,0,0,72.99,0,0,1.08,0.97,0,15.5,0,0,7.72,0,1,536.16,0,0.73,0,0,0,0,0,37.7,0.81,0,0
 72-82,0,0,4.97,0,81.49,0,4.13,8.81,0,0.55,9.66,0,0,12.98,0,0,641.41,0,3.63,0.53,0,3.22,0,0,41.88,0,0.91,5.96
 84-94,0,0,6.59,1.25,56.13,0,0,2.77,0,0,11.2,0,0,11.15,0,0,473.61,0,0,0,0,5.53,0,1.09,25.29,0,0,0
 96-106,0,0,1.98,0,59.73,0,0,12.6,0,0,10.21,0,0,12.92,2.17,3.75,502.07,0,3.98,0,0,6.96,0,0,21.84,0,0,8.67
108-118,0,0,6.6,0,67.7,1.66,0,7.55,0,0,13.03,0,0.56,7.24,0,0,553.39,0,1.83,1.28,0,1.54,0,0,1.84,0,0,0
120,0,0,8.05,1.22,195.7,0,19.42,7.87,0,0,63.23,0,0,8.78,0,3.58,1070.9,0,12.45,1.74,0,4.95,0,0,20,0,0,0
