stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,253.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,167.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,27.89,0,0,4.58,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.71,0,0,13.42,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0.86,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,1.18,1.11,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.43,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,2.43,0,0,0,0,0,1.06,12.08,0,2.56,0
 36-46,0,0,0,2.47,0,0,1.11,0,0,0,0,0,0,0.61,0,0,0,0,0.78,102.02,1.23,1.66,0,0,0,0,1.14,40.11,0,0,0
 48-58,0,0,0,0.44,0,0,8.36,0.55,0,0.89,0,0,0,0,0,0.56,0.43,0.52,0.67,96.35,0,0,0,0,0.5,0,0,42.39,0,0.9,0
 60-70,0,0,0.7,0.57,0,0,16.65,0,0,7.75,2.81,0,2.65,0,0,0,6.3,0,0,264.63,0,0,0,0.66,0,0,0,22.16,0,0.88,0
 72-82,0,0,1.47,0,3.78,0,17.73,0,2.7,0.59,3.98,0,0,0.64,0,0,1.77,0,0,132.01,2.44,0,0,0,0,0,0,21.55,0,0.71,0.91
 84-94,0,0,0,2.06,1.51,1.17,18.51,0,0,2.59,7.01,3.52,9.88,0,0,0,0.94,0,0,100.76,0,0,0,0,1.72,0,2.07,10.26,0,0,0
 96-106,0,0,0,0,0,0,32.61,0,0,14.23,8.54,2.35,8.51,0,3.91,0,10.97,1.02,0,104.87,2.4,0,0,0,0,0,0,5,0,1.81,3.15
108-118,0,0,0.94,0.94,0,3.82,32.16,0,1.19,5.44,5.88,0.8,12.38,0,0,8.2,18.76,0,0,145.52,0.42,0,0,1.49,0,0,0,4.05,0.54,0,0
120,0,0,8.41,0,0,0,4.23,0,0,0,4.2,0,39.87,0,0,0,4.59,0,0,205.61,0,0,0,0,0,0,0,30.08,0,0,0
