stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.32,206.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,45.79,369.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,29.7,0,0,14.74,7.36,0,0,0,0,0,0
  7-9,0,4.35,0,0,0,13,0,0,0,0,5.34,0,0,0,0,0,0,117,4.16,0,0,60.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,0,1.19,0,0,1.26,0,0,0,0,0,0.92,0,3.57,10.96,0,0,0,0.93,0,0.82,2.06,2.5,0,0,0
 24-34,0,0,0.65,0,0,1.94,1.38,0,0.62,0,0,1.06,0.97,0,1.37,0,1.28,7.26,0,0,0,0,0,0,0,0.96,0,0,0
 36-46,0,0,0,0,0,1.57,0,0.96,0,0,0,0,0,0,0,0,0,12.08,0,0,4.54,0,0,0,0,0.84,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.55,0,0,0,0.77,7.66,2.66,0,0.63,3.43,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,5.73,0,3.48,0,0,1.56,0,0,0,0,0.71,3.91,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.49,0,1.08,0,0,2.36,0.51,0,0,1.53,0,4.98,0,0,6.49,0,0,0,0,0,0,0,0,0,0,2.12
 84-94,0,0,0,1.61,0,0,0,0,5.95,0,0,0,0.65,1.55,3.8,2.65,0.67,7.75,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.44,0,0,0,0,13.74,0.69,0,0,1.53,0,4.28,3.49,0,1.02,0,0.63,0,0,0.7,0,0,0,3.65,0,0
108-118,0,0,0,2.05,1.21,0,0,0,0,0,0,0,0.56,2.34,0,0,0.53,0.9,0,0,0,0,0,0,0,0,0,5.7,0
120,0,0,0,1.45,1.71,0,1.04,0,0,2.35,0,0,4.23,0,0,0,1.12,1.36,0,0,0,0,0,0,0,0,0,0,0
