stage,exocrine_pancreas,eye,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vasculature
  7-9,0,4.31,0,0,0,0,0,0,13.93,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.98,0,0,0,0
 14-21,0,0,0,1.34,0,0,0,0,0.98,0,0,0,0
 24-34,0,0.76,0,0,0,0,0,0,1.06,0,2.78,0.98,4.23
 36-46,0,0,0,0,0,0,0,0,2.77,0,0,0,0
 48-58,0,0,0,0,0.74,0,0,0,1.6,4.29,4.26,0,0
 60-70,0,0.79,0,0,0,0,0,0,3.84,0,4.6,0,0
 72-82,0,2.94,0,0,3.34,0,0.62,0,0.55,0,3.01,0,0
 84-94,0,13.84,0.66,0,0,0,0,0,0,2.33,2.85,0,0
 96-106,0,0.92,0,0,0,1.22,0,0,0,3.27,0,0,0
108-118,0.72,0,0,0,0,0,0,1.25,4.24,0,9.52,0,0
120,0,0,0,0,1.6,0,7.12,0,0,12.72,8.3,0,0
